date,open,high,low,close,adjusted_close,volume
2023-01-03,132.5807,136.7002,131.6131,135.6244,132.2338,91052081
2023-01-04,136.2761,137.3844,134.811,135.8273,132.436,92441428
2023-01-05,136.5115,137.6467,134.9819,136.0225,132.6306,93661301
2023-01-06,136.7163,137.8755,135.147,136.2096,132.8174,94696420
2023-01-09,136.8914,138.0717,135.3063,136.3882,132.9959,95533631
2023-01-10,137.039,138.2372,135.4594,136.5579,133.1658,96162062
2023-01-11,137.1619,138.3748,135.6061,136.7183,133.3266,96573264
2023-01-12,137.2637,138.4878,135.7463,136.8692,133.4782,96761314
2023-01-13,137.348,138.5799,135.8797,137.0103,133.6201,96722889
2023-01-16,137.4185,138.6547,136.0062,137.1412,133.7522,96457313
2023-01-17,137.4786,138.7156,136.1255,137.2618,133.8742,95966562
2023-01-18,137.531,138.7653,136.2375,137.3718,133.9859,95255244
2023-01-19,137.5778,138.8061,136.342,137.4711,134.0871,94330548
2023-01-20,137.6203,138.8391,136.4387,137.5595,134.1778,93202153
2023-01-23,137.6588,138.8649,136.5276,137.637,134.2577,91882117
2023-01-24,137.6929,138.8935,136.5981,137.7033,134.3269,90384729
2023-01-25,137.7214,138.93,136.644,137.7586,134.3852,88726335
2023-01-26,137.7424,138.9524,136.6852,137.8028,134.4327,86925145
2023-01-27,137.7539,138.961,136.7194,137.8358,134.4694,85001010
2023-01-30,137.7536,138.956,136.7442,137.8579,134.4953,82975179
2023-01-31,137.7395,138.9376,136.7573,137.869,134.5105,80870048
2023-02-01,137.71,138.9064,136.7569,137.8692,134.5151,78708882
2023-02-02,137.6641,138.8627,136.7418,137.8588,134.5094,76515538
2023-02-03,137.6014,138.8069,136.7114,137.8378,134.4934,74314175
2023-02-06,137.5228,138.7397,136.6662,137.8066,134.4673,72128958
2023-02-07,137.4298,138.6615,136.6074,137.7654,134.4315,69983770
2023-02-08,137.3249,138.5729,136.5373,137.7145,134.3862,67901923
2023-02-09,137.2113,138.4853,136.449,137.6541,134.3317,65905873
2023-02-10,137.093,138.4529,136.297,137.5846,134.2683,64016953
2023-02-13,136.974,138.4112,136.1448,137.5064,134.1963,62255112
2023-02-14,136.8587,138.3605,135.9968,137.4198,134.1163,60638679
2023-02-15,136.751,138.3008,135.8573,137.3253,134.0284,59184143
2023-02-16,136.6544,138.2322,135.7301,137.2234,133.9333,57905953
2023-02-17,136.5718,138.155,135.6182,137.1144,133.8314,56816351
2023-02-20,136.5048,138.0694,135.5234,136.9989,133.723,55925224
2023-02-21,136.454,137.9756,135.4468,136.8774,133.6088,55239989
2023-02-22,136.419,137.874,135.3879,136.7504,133.4893,54765511
2023-02-23,136.3979,137.7648,135.3451,136.6185,133.3649,54504046
2023-02-24,136.3879,137.6485,135.3157,136.4822,133.2362,54455225
2023-02-27,136.385,137.5687,135.2535,136.3421,133.1038,54616061
2023-02-28,136.3847,137.5836,135.0973,136.1988,132.9682,54980992
2023-03-01,136.382,137.593,134.9415,136.0528,132.8301,55541962
2023-03-02,136.3718,137.5914,134.7866,135.9049,132.69,56288521
2023-03-03,136.349,137.574,134.6335,135.7555,132.5485,57207963
2023-03-06,136.3093,137.5361,134.4826,135.6054,132.4063,58285490
2023-03-07,136.249,137.474,134.3347,135.4551,132.2639,59504401
2023-03-08,136.1655,137.3851,134.1903,135.3053,132.1219,60846303
2023-03-09,136.0573,137.2681,134.05,135.1565,131.981,62291344
2023-03-10,135.9244,137.1228,133.9144,135.0095,131.8417,63818467
2023-03-13,135.7677,136.9505,133.7839,134.8648,131.7047,65405673
2023-03-14,135.5898,136.7537,133.6591,134.7231,131.5706,67030299
2023-03-15,135.394,136.536,133.5405,134.5848,131.4399,68669302
2023-03-16,135.1845,136.3019,133.4283,134.4507,131.3133,70299554
2023-03-17,134.9663,136.0565,133.3232,134.3214,131.1912,71898127
2023-03-20,134.7444,135.8052,133.2253,134.1973,131.0743,73442581
2023-03-21,134.524,135.5534,133.1351,134.079,130.9631,74911253
2023-03-22,134.31,135.3063,133.0529,133.9671,130.8581,76283520
2023-03-23,134.1066,135.0685,132.9789,133.8621,130.7598,77540064
2023-03-24,133.9175,134.8438,132.9134,133.7645,130.6688,78663113
2023-03-27,133.7452,134.6351,132.8566,133.6748,130.5854,79636665
2023-03-28,133.5915,134.4464,132.8068,133.5934,130.5101,80446688
2023-03-29,133.457,134.337,132.7064,133.5207,130.4434,81081299
2023-03-30,133.3416,134.2792,132.586,133.4572,130.3856,81530911
2023-03-31,133.2441,134.2611,132.4558,133.4032,130.3372,81788360
2023-04-03,133.1632,134.2525,132.3426,133.3592,130.2984,81848989
2023-04-04,133.0969,134.2533,132.2446,133.3253,130.2696,81710715
2023-04-05,133.0431,134.2636,132.1601,133.3019,130.251,81374054
2023-04-06,133.0,134.2834,132.0874,133.2893,130.2429,80842116
2023-04-07,132.9661,134.3127,132.0254,133.2876,130.2456,80120571
2023-04-10,132.9405,134.3514,131.9732,133.2972,130.2592,79217580
2023-04-11,132.9228,134.3994,131.9309,133.318,130.2838,78143694
2023-04-12,132.9137,134.4566,131.8993,133.3504,130.3197,76911728
2023-04-13,132.9143,134.523,131.8796,133.3943,130.3669,75536601
2023-04-14,132.9268,134.5985,131.8742,133.4499,130.4255,74035154
2023-04-17,132.9538,134.6828,131.8858,133.5171,130.4955,72425944
2023-04-18,132.9981,134.776,131.9174,133.596,130.5768,70729009
2023-04-19,133.0631,134.8777,131.9723,133.6865,130.6695,68965630
2023-04-20,133.1517,134.9878,132.0536,133.7885,130.7735,67158058
2023-04-21,133.2667,135.1062,132.164,133.9019,130.8887,65329247
2023-04-24,133.4102,135.2327,132.3057,134.0266,131.0149,63502563
2023-04-25,133.5835,135.3671,132.48,134.1624,131.1519,61701499
2023-04-26,133.7867,135.5091,132.687,134.3092,131.2997,59949382
2023-04-27,134.0191,135.6586,132.926,134.4665,131.4578,58269082
2023-04-28,134.2786,135.8154,133.1948,134.6343,131.6261,56682728
2023-05-01,134.562,135.9792,133.4902,134.8121,131.8043,55211433
2023-05-02,134.8654,136.1499,133.8082,134.9996,131.992,53875032
2023-05-03,135.1835,136.3271,134.1435,135.1966,132.1888,52691832
2023-05-04,135.5111,136.6202,134.383,135.4025,132.3945,51678382
2023-05-05,135.8421,136.9273,134.6203,135.617,132.6086,50849269
2023-05-08,136.1708,137.2297,134.8678,135.8396,132.8306,50216931
2023-05-09,136.4917,137.5222,135.1248,136.0699,133.0602,49791499
2023-05-10,136.7999,137.8,135.3907,136.3074,133.2968,49580671
2023-05-11,137.0916,138.0595,135.6647,136.5516,133.5399,49589609
2023-05-12,137.3639,138.2981,135.946,136.8019,133.7891,49820872
2023-05-15,137.6151,138.5144,136.2338,137.0578,134.0438,50274381
2023-05-16,137.8451,138.7086,136.5273,137.3188,134.3034,50947410
2023-05-17,138.0547,138.884,136.8238,137.5842,134.5674,51834619
2023-05-18,138.2462,139.1143,137.0571,137.8535,134.8352,52928113
2023-05-19,138.4227,139.3294,137.2938,138.1261,135.1063,54217531
2023-05-22,138.5882,139.5328,137.5337,138.4014,135.38,55690172
