date,open,high,low,close,adjusted_close,volume
2023-01-03,42.1005,43.0755,41.8451,42.7932,41.7234,9492981
2023-01-04,42.9198,43.2143,42.6164,42.8871,41.8163,9703585
2023-01-05,43.0324,43.3387,42.6986,42.98,41.9083,9905055
2023-01-06,43.1382,43.4559,42.7799,43.0718,41.9991,10094881
2023-01-09,43.2373,43.566,42.8603,43.1622,42.0887,10270678
2023-01-10,43.3302,43.6693,42.9397,43.2511,42.1768,10430214
2023-01-11,43.4173,43.7662,43.018,43.3383,42.2632,10571442
2023-01-12,43.4996,43.8574,43.095,43.4237,42.3478,10692525
2023-01-13,43.5777,43.9438,43.1708,43.507,42.4305,10791853
2023-01-16,43.6525,44.0259,43.2451,43.5881,42.511,10868072
2023-01-17,43.7248,44.1046,43.318,43.667,42.5893,10920094
2023-01-18,43.7949,44.1802,43.3893,43.7433,42.6651,10947111
2023-01-19,43.8634,44.253,43.4589,43.817,42.7384,10948611
2023-01-20,43.9301,44.3231,43.5268,43.888,42.8091,10924379
2023-01-23,43.995,44.3903,43.5928,43.9561,42.8769,10874501
2023-01-24,44.0575,44.454,43.6568,44.0213,42.9419,10799367
2023-01-25,44.1171,44.5137,43.7187,44.0833,43.0038,10699661
2023-01-26,44.1729,44.5685,43.7785,44.1422,43.0627,10576357
2023-01-27,44.2241,44.6175,43.8361,44.1978,43.1183,10430707
2023-01-30,44.2698,44.6599,43.8913,44.25,43.1707,10264226
2023-01-31,44.3092,44.6949,43.944,44.2988,43.2197,10078670
2023-02-01,44.3417,44.7244,43.9919,44.3441,43.2653,9876022
2023-02-02,44.367,44.7599,44.0231,44.3859,43.3075,9658462
2023-02-03,44.385,44.7909,44.0479,44.4241,43.3462,9428344
2023-02-06,44.3958,44.8173,44.0664,44.4587,43.3814,9188166
2023-02-07,44.4002,44.8394,44.0792,44.4897,43.4131,8940541
2023-02-08,44.3991,44.8571,44.087,44.5171,43.4412,8688165
2023-02-09,44.3935,44.8706,44.0911,44.5408,43.4658,8433783
2023-02-10,44.385,44.8799,44.0927,44.5609,43.4868,8180160
2023-02-13,44.375,44.8851,44.0933,44.5775,43.5044,7930041
2023-02-14,44.3652,44.8864,44.0943,44.5904,43.5185,7686124
2023-02-15,44.357,44.884,44.0971,44.5999,43.5292,7451025
2023-02-16,44.3518,44.8779,44.103,44.606,43.5365,7227247
2023-02-17,44.3508,44.8841,44.0988,44.6086,43.5405,7017146
2023-02-20,44.3546,44.8955,44.0916,44.6079,43.5413,6822912
2023-02-21,44.3637,44.9035,44.0897,44.6041,43.5389,6646531
2023-02-22,44.3781,44.9081,44.0933,44.5971,43.5335,6489771
2023-02-23,44.3973,44.9094,44.1021,44.587,43.5252,6354155
2023-02-24,44.4205,44.9072,44.1151,44.5741,43.514,6240948
2023-02-27,44.4465,44.9017,44.1315,44.5584,43.5001,6151136
2023-02-28,44.4738,44.8929,44.1498,44.5401,43.4836,6085419
2023-03-01,44.5009,44.8808,44.1684,44.5192,43.4647,6044203
2023-03-02,44.5259,44.8957,44.156,44.496,43.4435,6027595
2023-03-03,44.5471,44.9244,44.1241,44.4706,43.4201,6035400
2023-03-06,44.563,44.9469,44.091,44.4432,43.3947,6067128
2023-03-07,44.5722,44.9616,44.0569,44.4139,43.3675,6122000
2023-03-08,44.5737,44.9676,44.022,44.3829,43.3387,6198956
2023-03-09,44.5667,44.964,43.9866,44.3504,43.3083,6296671
2023-03-10,44.551,44.9504,43.9509,44.3165,43.2767,6413571
2023-03-13,44.5266,44.9271,43.9151,44.2815,43.2439,6547854
2023-03-14,44.4941,44.8945,43.8793,44.2456,43.2102,6697512
2023-03-15,44.4543,44.8534,43.8438,44.2089,43.1758,6860358
2023-03-16,44.4083,44.8049,43.8087,44.1716,43.1408,7034050
2023-03-17,44.3574,44.7504,43.7742,44.134,43.1055,7216126
2023-03-20,44.303,44.6914,43.7406,44.0962,43.07,7404029
2023-03-21,44.2466,44.6293,43.7079,44.0585,43.0346,7595144
2023-03-22,44.1895,44.5656,43.6763,44.021,42.9994,7786829
2023-03-23,44.1329,44.5015,43.646,43.984,42.9646,7976446
2023-03-24,44.0778,44.4381,43.6171,43.9476,42.9305,8161399
2023-03-27,44.0249,44.3761,43.5898,43.9121,42.8972,8339160
2023-03-28,43.9746,44.3161,43.5642,43.8776,42.8649,8507307
2023-03-29,43.9272,44.2583,43.5403,43.8443,42.8338,8663551
2023-03-30,43.8824,44.2026,43.5184,43.8125,42.8041,8805764
2023-03-31,43.8401,44.1489,43.4985,43.7823,42.776,8932008
2023-04-03,43.7996,44.0968,43.4807,43.7539,42.7496,9040557
2023-04-04,43.7606,44.0459,43.4651,43.7274,42.7252,9129921
2023-04-05,43.7224,43.9956,43.4518,43.7031,42.7028,9198861
2023-04-06,43.6846,43.9477,43.439,43.6811,42.6827,9246409
2023-04-07,43.647,43.9364,43.3942,43.6615,42.665,9271878
2023-04-10,43.6096,43.9311,43.3462,43.6446,42.6499,9274868
2023-04-11,43.5724,43.9284,43.2986,43.6304,42.6374,9255277
2023-04-12,43.5361,43.9283,43.2522,43.6191,42.6277,9213296
2023-04-13,43.5014,43.9308,43.2077,43.6108,42.621,9149413
2023-04-14,43.4693,43.936,43.1663,43.6056,42.6174,9064403
2023-04-17,43.441,43.9439,43.1292,43.6037,42.6169,8959316
2023-04-18,43.4179,43.9544,43.0979,43.6051,42.6196,8835473
2023-04-19,43.4014,43.9677,43.0738,43.6099,42.6258,8694440
2023-04-20,43.3929,43.9838,43.0583,43.6182,42.6353,8538014
2023-04-21,43.3935,44.0026,43.0527,43.6301,42.6483,8368200
2023-04-24,43.4044,44.0241,43.0581,43.6456,42.6648,8187183
2023-04-25,43.4262,44.0484,43.0753,43.6648,42.685,7997307
2023-04-26,43.4594,44.0754,43.1045,43.6877,42.7087,7801040
2023-04-27,43.5038,44.1051,43.146,43.7143,42.7361,7600947
2023-04-28,43.5591,44.1375,43.1991,43.7446,42.7672,7399655
2023-05-01,43.6244,44.1727,43.2632,43.7787,42.8019,7199822
2023-05-02,43.6985,44.2105,43.337,43.8165,42.8403,7004107
2023-05-03,43.78,44.2509,43.4191,43.858,42.8823,6815131
2023-05-04,43.8671,44.294,43.5078,43.9032,42.9278,6635447
2023-05-05,43.9579,44.3457,43.5952,43.952,42.977,6467508
2023-05-08,44.0506,44.4346,43.6514,44.0044,43.0296,6313639
2023-05-09,44.1433,44.5225,43.712,44.0603,43.0857,6176002
2023-05-10,44.2344,44.6079,43.7769,44.1196,43.1451,6056575
2023-05-11,44.3225,44.6894,43.8459,44.1823,43.2078,5957121
2023-05-12,44.4067,44.7659,43.9189,44.2482,43.2737,5879172
2023-05-15,44.4861,44.8368,43.9958,44.3173,43.3427,5824004
2023-05-16,44.5605,44.902,44.0764,44.3894,43.4147,5792624
2023-05-17,44.63,44.9617,44.1605,44.4645,43.4895,5785757
2023-05-18,44.6952,45.0164,44.2478,44.5423,43.567,5803834
2023-05-19,44.7567,45.067,44.3382,44.6227,43.6472,5846989
2023-05-22,44.8157,45.1146,44.4314,44.7057,43.7297,5915053
2023-05-23,44.8734,45.1606,44.5272,44.7909,43.8145,6007560
2023-05-24,44.9311,45.2064,44.6253,44.8784,43.9015,6123747
2023-05-25,44.9899,45.2663,44.7136,44.9678,43.9904,6262569
2023-05-26,45.0509,45.3481,44.785,45.0591,44.0811,6422702
2023-05-29,45.1152,45.4537,44.8378,45.1519,44.1735,6602571
2023-05-30,45.1834,45.5606,44.8947,45.2463,44.2672,6800355
2023-05-31,45.2558,45.6684,44.956,45.3419,44.3622,7014019
2023-06-01,45.3325,45.7769,45.022,45.4386,44.4583,7241336
2023-06-02,45.4132,45.8858,45.0925,45.5362,44.5552,7479908
2023-06-05,45.4975,45.9948,45.1669,45.6344,44.6528,7727204
2023-06-06,45.5845,46.1035,45.2448,45.7331,44.7508,7980583
2023-06-07,45.6733,46.2119,45.3251,45.8321,44.8492,8237329
2023-06-08,45.763,46.3194,45.4072,45.9312,44.9476,8494683
2023-06-09,45.8527,46.426,45.49,46.0301,45.0459,8749877
2023-06-12,45.9416,46.5312,45.5728,46.1287,45.1439,9000167
2023-06-13,46.0289,46.6349,45.6551,46.2268,45.2413,9242865
2023-06-14,46.1142,46.7368,45.7363,46.3242,45.3381,9475374
2023-06-15,46.1974,46.8366,45.8165,46.4206,45.434,9695215
2023-06-16,46.2787,46.9343,45.8958,46.5159,45.5287,9900062
2023-06-19,46.3585,47.0294,45.9747,46.61,45.6223,10087767
2023-06-20,46.4374,47.1219,46.0538,46.7025,45.7143,10256384
2023-06-21,46.5164,47.2116,46.134,46.7934,45.8048,10404198
2023-06-22,46.5965,47.2983,46.2163,46.8824,45.8934,10529738
2023-06-23,46.6787,47.3818,46.3017,46.9694,45.9801,10631801
2023-06-26,46.7639,47.462,46.3911,47.0543,46.0647,10709464
2023-06-27,46.853,47.5389,46.4854,47.1369,46.147,10762093
2023-06-28,46.9466,47.6122,46.585,47.217,46.227,10789351
2023-06-29,47.0449,47.682,46.6902,47.2945,46.3044,10791205
2023-06-30,47.1478,47.7482,46.8008,47.3692,46.3791,10767919
2023-07-03,47.2548,47.8107,46.9161,47.4412,46.451,10720057
2023-07-04,47.3649,47.8695,47.0353,47.5101,46.5201,10648473
2023-07-05,47.4768,47.9245,47.1569,47.5761,46.5862,10554297
2023-07-06,47.589,47.9759,47.2792,47.6388,46.6492,10438926
2023-07-07,47.6995,48.0246,47.3993,47.6984,46.709,10304001
2023-07-10,47.8063,48.1195,47.4669,47.7547,46.7656,10151392
2023-07-11,47.9075,48.2083,47.5314,47.8076,46.819,9983168
2023-07-12,48.0009,48.2893,47.5926,47.8571,46.869,9801578
2023-07-13,48.0849,48.3861,47.6271,47.9032,46.9157,9609017
2023-07-14,48.1579,48.4726,47.6576,47.9459,46.959,9408001
2023-07-17,48.2188,48.5467,47.6848,47.985,46.9989,9201130
2023-07-18,48.267,48.6078,47.7089,48.0208,47.0354,8991063
2023-07-19,48.3023,48.6554,47.7299,48.053,47.0686,8780478
2023-07-20,48.3249,48.6897,47.7479,48.0818,47.0983,8572044
2023-07-21,48.3355,48.7114,47.7631,48.1073,47.1248,8368385
2023-07-24,48.3354,48.7215,47.7756,48.1293,47.148,8172048
2023-07-25,48.3259,48.7214,47.7856,48.1481,47.1679,7985474
2023-07-26,48.3087,48.7127,47.7932,48.1637,47.1847,7810962
2023-07-27,48.2857,48.6971,47.7984,48.1761,47.1984,7650648
2023-07-28,48.2588,48.6766,47.8016,48.1854,47.2091,7506474
2023-07-31,48.2296,48.6527,47.8028,48.1918,47.2169,7380165
2023-08-01,48.1997,48.627,47.8023,48.1953,47.2219,7273208
2023-08-02,48.1703,48.6267,47.7744,48.1961,47.2242,7186833
2023-08-03,48.1426,48.6271,47.7449,48.1944,47.224,7122001
2023-08-04,48.117,48.6238,47.7186,48.1901,47.2214,7079389
2023-08-07,48.0938,48.6169,47.6959,48.1836,47.2165,7059383
2023-08-08,48.073,48.6067,47.6765,48.1749,47.2095,7062073
2023-08-09,48.0541,48.5933,47.6602,48.1642,47.2006,7087255
2023-08-10,48.0367,48.5769,47.6463,48.1516,47.1898,7134430
2023-08-11,48.0199,48.5578,47.6342,48.1375,47.1775,7202811
2023-08-14,48.0032,48.5361,47.623,48.1219,47.1637,7291336
2023-08-15,47.9857,48.5121,47.6121,48.105,47.1487,7398680
2023-08-16,47.9669,48.486,47.6008,48.087,47.1327,7523271
2023-08-17,47.9465,48.4581,47.5887,48.0682,47.1158,7663309
2023-08-18,47.9245,48.4288,47.5757,48.0487,47.0982,7816791
2023-08-21,47.9009,48.3982,47.562,48.0288,47.0802,7981537
2023-08-22,47.8763,48.3667,47.5478,48.0086,47.062,8155213
2023-08-23,47.8516,48.3346,47.5339,47.9884,47.0437,8335365
2023-08-24,47.8276,48.3022,47.5213,47.9683,47.0255,8519447
2023-08-25,47.8055,48.2699,47.5109,47.9486,47.0078,8704854
2023-08-28,47.7866,48.2378,47.5038,47.9296,46.9906,8888955
2023-08-29,47.772,48.2064,47.5013,47.9113,46.9742,9069127
2023-08-30,47.7629,48.1868,47.4943,47.8941,46.9589,9242783
2023-08-31,47.7601,48.1837,47.4796,47.8781,46.9447,9407413
2023-09-01,47.7643,48.1819,47.472,47.8635,46.932,9560609
2023-09-04,47.7758,48.1815,47.4718,47.8506,46.9209,9700096
2023-09-05,47.7944,48.1826,47.479,47.8395,46.9115,9823765
2023-09-06,47.8196,48.1853,47.4933,47.8305,46.9042,9929696
2023-09-07,47.8507,48.2168,47.4871,47.8237,46.8991,10016182
2023-09-08,47.8864,48.2633,47.473,47.8193,46.8963,10081755
2023-09-11,47.9253,48.3124,47.4622,47.8175,46.8961,10125199
2023-09-12,47.9658,48.3622,47.4549,47.8185,46.8985,10145572
2023-09-13,48.0062,48.4111,47.4513,47.8224,46.9039,10142213
2023-09-14,48.0449,48.4573,47.4516,47.8293,46.9123,10114753
2023-09-15,48.0804,48.4992,47.4561,47.8395,46.9238,10063123
2023-09-18,48.1114,48.5356,47.4649,47.8531,46.9386,9987551
2023-09-19,48.1371,48.5654,47.4782,47.8701,46.9569,9888563
2023-09-20,48.1569,48.5882,47.4961,47.8908,46.9787,9766975
2023-09-21,48.1707,48.6038,47.5188,47.9152,47.0041,9623887
2023-09-22,48.1789,48.6125,47.5464,47.9433,47.0333,9460667
2023-09-25,48.1823,48.6152,47.5789,47.9754,47.0663,9278937
2023-09-26,48.1822,48.6131,47.6164,48.0115,47.1032,9080552
2023-09-27,48.1801,48.6079,47.659,48.0515,47.144,8867580
2023-09-28,48.1777,48.6012,47.7068,48.0957,47.1889,8642274
2023-09-29,48.1769,48.5951,47.7596,48.144,47.2379,8407048
2023-10-02,48.1798,48.6083,47.801,48.1965,47.2909,8164448
2023-10-03,48.1881,48.658,47.8161,48.2531,47.348,7917117
2023-10-04,48.2035,48.7109,47.8392,48.3139,47.4092,7667770
2023-10-05,48.2275,48.767,47.8715,48.3788,47.4744,7419154
2023-10-06,48.261,48.8265,47.914,48.4479,47.5438,7174019
2023-10-09,48.3047,48.8894,47.9674,48.5211,47.6172,6935084
2023-10-10,48.3589,48.9557,48.0318,48.5983,47.6945,6705005
2023-10-11,48.4234,49.0254,48.107,48.6796,47.7758,6486338
2023-10-12,48.4978,49.0986,48.1923,48.7648,47.8609,6281515
2023-10-13,48.5812,49.1753,48.287,48.8538,47.9499,6092810
2023-10-16,48.6725,49.2554,48.3899,48.9465,48.0425,5922311
2023-10-17,48.7708,49.3391,48.4998,49.0429,48.1387,5771899
2023-10-18,48.8746,49.4491,48.5944,49.1428,48.2383,5643219
2023-10-19,48.983,49.5664,48.6899,49.2461,48.3413,5537667
2023-10-20,49.0949,49.6868,48.7891,49.3527,48.4475,5456367
2023-10-23,49.2095,49.8101,48.8912,49.4624,48.5567,5400160
2023-10-24,49.3263,49.936,48.9958,49.575,48.6689,5369597
2023-10-25,49.445,50.0642,49.1028,49.6904,48.7838,5364927
2023-10-26,49.5657,50.1945,49.2123,49.8084,48.9012,5386097
2023-10-27,49.6888,50.3265,49.3247,49.9288,49.0211,5432754
2023-10-30,49.8147,50.4601,49.4406,50.0515,49.1431,5504245
2023-10-31,49.9441,50.5948,49.5607,50.1762,49.2671,5599632
2023-11-01,50.0777,50.7304,49.6859,50.3027,49.393,5717698
2023-11-02,50.2161,50.8667,49.8169,50.4309,49.5204,5856963
2023-11-03,50.3601,51.0033,49.9542,50.5604,49.6492,6015706
2023-11-06,50.5097,51.14,50.0982,50.6911,49.7792,6191982
2023-11-07,50.6652,51.2765,50.2491,50.8228,49.9101,6383647
2023-11-08,50.8262,51.4125,50.4065,50.9552,50.0418,6588387
2023-11-09,50.992,51.5477,50.5699,51.088,50.1739,6803742
2023-11-10,51.1615,51.682,50.738,51.2212,50.3063,7027140
2023-11-13,51.3333,51.815,50.9097,51.3544,50.4387,7255927
2023-11-14,51.5057,51.965,51.0649,51.4873,50.571,7487399
2023-11-15,51.6767,52.1337,51.1999,51.6198,50.7028,7718836
2023-11-16,51.8444,52.2977,51.3354,51.7517,50.8339,7947537
2023-11-17,52.0066,52.455,51.471,51.8826,50.9642,8170849
2023-11-20,52.1614,52.6037,51.6067,52.0124,51.0934,8386201
2023-11-21,52.3071,52.7421,51.7419,52.1409,51.2212,8591137
2023-11-22,52.4422,52.8688,51.8766,52.2677,51.3475,8783347
2023-11-23,52.5659,52.9829,52.0104,52.3928,51.472,8960688
2023-11-24,52.6776,53.0841,52.143,52.5158,51.5946,9121219
2023-11-27,52.7773,53.1724,52.2741,52.6366,51.715,9263219
2023-11-28,52.8655,53.2485,52.4034,52.755,51.833,9385208
2023-11-29,52.9433,53.3134,52.5307,52.8708,51.9484,9485968
2023-11-30,53.012,53.3688,52.6557,52.9837,52.0611,9564553
2023-12-01,53.0734,53.4368,52.7578,53.0937,52.1709,9620305
2023-12-04,53.1294,53.5299,52.8268,53.2005,52.2775,9652856
