date,open,high,low,close,adjusted_close,volume
2023-01-03,58.2914,60.1844,57.8437,59.686,58.1939,5970792
2023-01-04,60.0043,60.5149,59.2738,59.7415,58.2499,6041076
2023-01-05,60.0675,60.587,59.3173,59.7931,58.3021,6098865
2023-01-06,60.1161,60.643,59.3579,59.8405,58.3502,6143433
2023-01-09,60.1507,60.6836,59.3956,59.8837,58.3942,6174205
2023-01-10,60.1724,60.7098,59.4301,59.9224,58.434,6190767
2023-01-11,60.1828,60.7231,59.4616,59.9567,58.4693,6192870
2023-01-12,60.1836,60.7252,59.4898,59.9864,58.5002,6180433
2023-01-13,60.1767,60.718,59.5148,60.0115,58.5265,6153547
2023-01-16,60.1637,60.7032,59.5365,60.0318,58.5483,6112467
2023-01-17,60.1465,60.6827,59.5549,60.0474,58.5654,6057620
2023-01-18,60.1264,60.6579,59.5698,60.0582,58.5778,5989588
2023-01-19,60.1045,60.6298,59.5812,60.0641,58.5856,5909109
2023-01-20,60.0815,60.5993,59.5891,60.0652,58.5886,5817067
2023-01-23,60.0578,60.5705,59.5896,60.0616,58.5869,5714476
2023-01-24,60.0331,60.552,59.5742,60.0531,58.5806,5602476
2023-01-25,60.0071,60.5277,59.5586,60.0399,58.5696,5482312
2023-01-26,59.9791,60.4976,59.5418,60.022,58.5541,5355323
2023-01-27,59.9481,60.4618,59.5231,59.9994,58.534,5222923
2023-01-30,59.9134,60.4206,59.5013,59.9723,58.5094,5086588
2023-01-31,59.8739,60.3742,59.4755,59.9407,58.4806,4947833
2023-02-01,59.829,60.3229,59.4449,59.9048,58.4474,4808198
2023-02-02,59.7782,60.2668,59.4087,59.8646,58.4101,4669225
2023-02-03,59.7213,60.2062,59.3669,59.8203,58.3689,4532444
2023-02-06,59.6586,60.1415,59.3195,59.7721,58.3237,4399351
2023-02-07,59.5907,60.084,59.2567,59.7201,58.2749,4271392
2023-02-08,59.5186,60.0443,59.1701,59.6645,58.2225,4149943
2023-02-09,59.4436,60.0008,59.0808,59.6054,58.1668,4036298
2023-02-10,59.3672,59.9538,58.9904,59.5431,58.1079,3931647
2023-02-13,59.2911,59.9032,58.9009,59.4777,58.046,3837068
2023-02-14,59.2171,59.8492,58.8139,59.4095,57.9813,3753509
2023-02-15,59.1467,59.7918,58.7312,59.3387,57.9141,3681782
2023-02-16,59.0814,59.7311,58.6544,59.2655,57.8445,3622548
2023-02-17,59.0223,59.6674,58.5845,59.1901,57.7729,3576311
2023-02-20,58.97,59.6007,58.5223,59.1128,57.6993,3543417
2023-02-21,58.9248,59.5311,58.4681,59.0339,57.6242,3524041
2023-02-22,58.8862,59.459,58.4217,58.9536,57.5477,3518195
2023-02-23,58.8535,59.3844,58.3823,58.8721,57.47,3525719
2023-02-24,58.8255,59.3438,58.3132,58.7897,57.3915,3546293
2023-02-27,58.8004,59.3234,58.2263,58.7067,57.3123,3579433
2023-02-28,58.7764,59.3027,58.1404,58.6233,57.2328,3624501
2023-03-01,58.7513,59.2794,58.0558,58.5399,57.1532,3680714
2023-03-02,58.7229,59.2514,57.9726,58.4567,57.0738,3747154
2023-03-03,58.6892,59.2166,57.8913,58.3739,56.9949,3822778
2023-03-06,58.6484,59.1732,57.812,58.2918,56.9166,3906432
2023-03-07,58.5991,59.1197,57.7349,58.2107,56.8393,3996867
2023-03-08,58.5403,59.0553,57.6604,58.1309,56.7632,4092751
2023-03-09,58.4714,58.9794,57.5886,58.0526,56.6886,4192693
