date,open,high,low,close,adjusted_close,volume
2023-01-03,24.1401,24.9107,23.9426,24.6911,24.0739,8181649
2023-01-04,24.837,25.0594,24.4863,24.6896,24.0732,8215739
2023-01-05,24.8325,25.0557,24.4821,24.6862,24.0706,8230737
2023-01-06,24.8214,25.0448,24.4765,24.6808,24.0662,8226438
2023-01-09,24.8043,25.0273,24.4695,24.6735,24.0599,8202861
2023-01-10,24.7819,25.0037,24.4612,24.6643,24.0516,8160250
2023-01-11,24.7549,24.9749,24.4515,24.6531,24.0415,8099073
2023-01-12,24.7242,24.9418,24.4404,24.64,24.0295,8020012
2023-01-13,24.6907,24.9053,24.428,24.6249,24.0156,7923956
2023-01-16,24.6553,24.8664,24.4141,24.6079,23.9998,7811993
2023-01-17,24.619,24.826,24.3988,24.5891,23.9822,7685393
2023-01-18,24.5822,24.7847,24.3822,24.5684,23.9628,7545596
2023-01-19,24.5457,24.7434,24.364,24.5459,23.9416,7394192
2023-01-20,24.5098,24.7138,24.3331,24.5216,23.9187,7232901
2023-01-23,24.4747,24.6821,24.3032,24.4956,23.8941,7063556
2023-01-24,24.4404,24.6484,24.2744,24.4679,23.8679,6888075
2023-01-25,24.4067,24.6129,24.2465,24.4386,23.8401,6708445
2023-01-26,24.3734,24.5756,24.2192,24.4077,23.8108,6526689
2023-01-27,24.3401,24.5366,24.192,24.3754,23.7801,6344850
2023-01-30,24.3064,24.4961,24.1646,24.3417,23.7479,6164960
2023-01-31,24.2719,24.4542,24.1364,24.3066,23.7145,5989018
2023-02-01,24.2364,24.4208,24.0981,24.2703,23.6799,5818965
2023-02-02,24.1994,24.3897,24.0553,24.2328,23.6441,5656662
2023-02-03,24.1609,24.3574,24.0111,24.1943,23.6072,5503865
2023-02-06,24.121,24.3239,23.9656,24.1547,23.5694,5362207
2023-02-07,24.0797,24.2892,23.919,24.1143,23.5308,5233174
2023-02-08,24.0373,24.2536,23.8716,24.0731,23.4913,5118091
2023-02-09,23.9944,24.2169,23.8238,24.0312,23.4512,5018105
2023-02-10,23.9514,24.1792,23.7764,23.9887,23.4105,4934170
2023-02-13,23.9089,24.1407,23.7298,23.9457,23.3693,4867039
2023-02-14,23.8675,24.1013,23.6847,23.9024,23.3278,4817251
2023-02-15,23.8278,24.0612,23.6417,23.8587,23.2859,4785128
2023-02-16,23.7902,24.0204,23.6014,23.8149,23.244,4770771
2023-02-17,23.7552,23.9791,23.564,23.7711,23.2019,4774058
2023-02-20,23.723,23.9372,23.5299,23.7273,23.16,4794648
2023-02-21,23.6936,23.9049,23.4893,23.6837,23.1182,4831985
2023-02-22,23.6668,23.8791,23.4453,23.6404,23.0766,4885303
2023-02-23,23.6423,23.855,23.4021,23.5974,23.0354,4953642
2023-02-24,23.6197,23.8322,23.36,23.555,22.9947,5035853
