date,open,high,low,close,adjusted_close,volume
2023-01-03,86.5128,88.8526,85.7984,88.0622,85.8607,12805995
2023-01-04,88.5712,89.362,87.3916,88.1153,85.9152,12758492
2023-01-05,88.5915,89.3761,87.4434,88.1617,85.9633,12681704
2023-01-06,88.5894,89.3655,87.4905,88.2014,86.0048,12576548
2023-01-09,88.567,89.3325,87.533,88.2346,86.04,12444269
2023-01-10,88.5274,89.2801,87.5709,88.2613,86.0689,12286426
2023-01-11,88.4737,89.2118,87.6042,88.2818,86.0917,12104875
2023-01-12,88.4098,89.1314,87.633,88.2961,86.1084,11901742
2023-01-13,88.3392,89.0428,87.6573,88.3044,86.1194,11679399
2023-01-16,88.2656,88.9914,87.6361,88.3069,86.1247,11440437
2023-01-17,88.1922,88.9682,87.5818,88.3039,86.1246,11187631
2023-01-18,88.1219,88.9385,87.5315,88.2955,86.1192,10923910
2023-01-19,88.0568,88.9028,87.4872,88.2821,86.1089,10652316
2023-01-20,87.9983,88.8614,87.4502,88.2638,86.0939,10375971
2023-01-23,87.9473,88.8149,87.4211,88.241,86.0745,10098038
2023-01-24,87.9038,88.7638,87.3997,88.2139,86.0509,9821683
2023-01-25,87.8671,88.7154,87.379,88.1828,86.0234,9550034
2023-01-26,87.8362,88.7045,87.3262,88.1482,85.9925,9286145
2023-01-27,87.8096,88.6901,87.2779,88.1103,85.9583,9032958
2023-01-30,87.7855,88.6723,87.2326,88.0694,85.9212,8793269
2023-01-31,87.7623,88.6512,87.1887,88.026,85.8817,8569693
2023-02-01,87.7383,88.6272,87.1448,87.9803,85.84,8364631
2023-02-02,87.7123,88.6002,87.0999,87.9329,85.7965,8180243
2023-02-03,87.6835,88.5707,87.0531,87.884,85.7516,8018421
2023-02-06,87.6514,88.5387,87.0044,87.834,85.7056,7880767
2023-02-07,87.6162,88.5046,86.9539,87.7834,85.6591,7768575
2023-02-08,87.5787,88.4687,86.9026,87.7326,85.6123,7682814
2023-02-09,87.54,88.4311,86.8518,87.6819,85.5656,7624115
2023-02-10,87.5017,88.3923,86.8031,87.6317,85.5195,7592770
2023-02-13,87.4657,88.3524,86.7584,87.5825,85.4743,7588723
2023-02-14,87.434,88.3119,86.7198,87.5347,85.4304,7611577
2023-02-15,87.4083,88.2711,86.6891,87.4887,85.3883,7660594
