date,open,high,low,close,adjusted_close,volume
2023-01-03,31.1669,31.747,30.9206,31.4766,30.6897,5005246
2023-01-04,31.633,31.9,31.2033,31.4476,30.6624,4948944
2023-01-05,31.5851,31.8464,31.1774,31.4165,30.6331,4882833
2023-01-06,31.5303,31.7852,31.1501,31.3835,30.6019,4807716
2023-01-09,31.4696,31.7177,31.1214,31.3488,30.569,4724499
2023-01-10,31.4043,31.645,31.0916,31.3123,30.5345,4634180
2023-01-11,31.3357,31.5685,31.0605,31.2742,30.4983,4537835
2023-01-12,31.2652,31.4898,31.0282,31.2346,30.4607,4436607
2023-01-13,31.1943,31.4104,30.9948,31.1936,30.4218,4331693
2023-01-16,31.1242,31.359,30.9333,31.1513,30.3815,4224325
2023-01-17,31.0561,31.3069,30.8734,31.1079,30.3402,4115760
2023-01-18,30.9912,31.2537,30.8165,31.0634,30.2978,4007259
2023-01-19,30.93,31.2088,30.7551,31.0181,30.2545,3900077
2023-01-20,30.8731,31.1707,30.6908,30.9719,30.2105,3795445
2023-01-23,30.8207,31.1319,30.6311,30.9251,30.1658,3694556
2023-01-24,30.7726,31.0924,30.5759,30.8778,30.1207,3598548
2023-01-25,30.7287,31.0522,30.525,30.8301,30.0751,3508494
2023-01-26,30.6883,31.0115,30.478,30.7822,30.0294,3425387
2023-01-27,30.6508,30.9702,30.4342,30.7342,29.9835,3350125
2023-01-30,30.6155,30.9286,30.393,30.6862,29.9377,3283506
2023-01-31,30.5816,30.8866,30.3537,30.6384,29.892,3226217
2023-02-01,30.5485,30.8445,30.3155,30.5909,29.8467,3178819
2023-02-02,30.5155,30.8022,30.2781,30.5439,29.8018,3141752
2023-02-03,30.4822,30.7598,30.241,30.4975,29.7575,3115318
2023-02-06,30.4483,30.7176,30.2039,30.4519,29.714,3099688
2023-02-07,30.4138,30.6823,30.1601,30.4071,29.6713,3094890
2023-02-08,30.3788,30.6494,30.1145,30.3633,29.6295,3100820
2023-02-09,30.3436,30.6156,30.0707,30.3207,29.5889,3117233
2023-02-10,30.3087,30.5813,30.0289,30.2794,29.5495,3143754
2023-02-13,30.2746,30.5471,29.9891,30.2394,29.5115,3179879
2023-02-14,30.242,30.5135,29.9515,30.201,29.475,3224983
2023-02-15,30.2113,30.4813,29.9162,30.1642,29.44,3278329
2023-02-16,30.1833,30.451,29.8833,30.1292,29.4068,3339073
2023-02-17,30.1583,30.423,29.8529,30.096,29.3753,3406281
2023-02-20,30.1366,30.3977,29.8251,30.0647,29.3458,3478937
2023-02-21,30.1183,30.3751,29.7999,30.0355,29.3183,3555956
2023-02-22,30.1032,30.3552,29.7774,30.0085,29.2928,3636199
2023-02-23,30.0912,30.3377,29.7577,29.9836,29.2696,3718487
2023-02-24,30.0817,30.3222,29.7407,29.9611,29.2485,3801614
2023-02-27,30.074,30.3081,29.7265,29.941,29.2298,3884366
2023-02-28,30.0674,30.2947,29.7152,29.9233,29.2135,3965535
2023-03-01,30.061,30.2811,29.7066,29.9081,29.1996,4043930
2023-03-02,30.0542,30.2667,29.7009,29.8954,29.1882,4118400
2023-03-03,30.0462,30.2508,29.698,29.8853,29.1793,4187840
2023-03-06,30.0363,30.2329,29.698,29.8779,29.173,4251212
2023-03-07,30.0241,30.2126,29.7006,29.8731,29.1693,4307555
2023-03-08,30.0095,30.1897,29.706,29.871,29.1682,4355995
2023-03-09,29.9925,30.1805,29.6993,29.8716,29.1697,4395762
2023-03-10,29.9733,30.1693,29.6952,29.8749,29.1739,4426194
2023-03-13,29.9527,30.1565,29.6938,29.8808,29.1807,4446749
2023-03-14,29.9313,30.1427,29.6953,29.8895,29.1901,4457010
2023-03-15,29.9102,30.129,29.6996,29.9008,29.2021,4456692
2023-03-16,29.8906,30.1407,29.6829,29.9147,29.2167,4445645
2023-03-17,29.8735,30.1641,29.6597,29.9313,29.2338,4423857
2023-03-20,29.8603,30.1897,29.6408,29.9504,29.2534,4391452
2023-03-21,29.8521,30.2174,29.6272,29.972,29.2755,4348692
2023-03-22,29.8499,30.247,29.6202,29.9961,29.2999,4295972
2023-03-23,29.8546,30.2784,29.6205,30.0225,29.3267,4233816
2023-03-24,29.8668,30.3115,29.6288,30.0513,29.3558,4162870
2023-03-27,29.8868,30.3463,29.6455,30.0823,29.3871,4083896
2023-03-28,29.9146,30.3826,29.6706,30.1155,29.4205,3997761
2023-03-29,29.9501,30.4202,29.7039,30.1508,29.4559,3905426
2023-03-30,29.9927,30.4591,29.7449,30.1881,29.4933,3807939
2023-03-31,30.0417,30.4992,29.793,30.2272,29.5325,3706416
2023-04-03,30.0961,30.5403,29.8471,30.2681,29.5734,3602030
2023-04-04,30.1551,30.5824,29.9064,30.3107,29.616,3495999
2023-04-05,30.2173,30.6252,29.9696,30.3548,29.66,3389568
2023-04-06,30.2818,30.6688,30.0357,30.4003,29.7055,3283994
2023-04-07,30.3475,30.7129,30.1037,30.4471,29.7522,3180532
2023-04-10,30.4135,30.7576,30.1727,30.4952,29.8001,3080419
2023-04-11,30.4791,30.8026,30.2419,30.5442,29.849,2984860
2023-04-12,30.5437,30.8479,30.3107,30.5942,29.8989,2895009
2023-04-13,30.6071,30.8934,30.3787,30.6449,29.9494,2811961
2023-04-14,30.669,30.939,30.4459,30.6963,30.0006,2736734
2023-04-17,30.7296,30.9846,30.5122,30.7482,30.0523,2670257
2023-04-18,30.789,31.0301,30.5779,30.8004,30.1044,2613360
2023-04-19,30.8477,31.0754,30.643,30.8529,30.1566,2566765
2023-04-20,30.9059,31.1209,30.7076,30.9054,30.209,2531071
2023-04-21,30.964,31.1713,30.7672,30.9579,30.2612,2506754
2023-04-24,31.0224,31.2218,30.8268,31.0101,30.3133,2494157
2023-04-25,31.0813,31.2726,30.8861,31.0621,30.3651,2493486
2023-04-26,31.1406,31.3311,30.9384,31.1135,30.4163,2504808
2023-04-27,31.2003,31.3996,30.9812,31.1643,30.467,2528051
2023-04-28,31.26,31.4681,31.0232,31.2144,30.517,2563001
2023-05-01,31.3193,31.536,31.0645,31.2636,30.566,2609309
2023-05-02,31.3774,31.6026,31.1051,31.3117,30.6141,2666494
2023-05-03,31.4336,31.6669,31.1447,31.3588,30.6611,2733946
2023-05-04,31.4869,31.728,31.1834,31.4046,30.7069,2810937
2023-05-05,31.5366,31.7849,31.2211,31.449,30.7513,2896627
2023-05-08,31.5816,31.8367,31.2578,31.4919,30.7943,2990077
2023-05-09,31.6212,31.8826,31.2934,31.5332,30.8357,3090257
2023-05-10,31.6549,31.922,31.3278,31.5729,30.8755,3196061
2023-05-11,31.6823,31.9543,31.361,31.6107,30.9135,3306319
2023-05-12,31.7032,31.9794,31.393,31.6467,30.9497,3419812
2023-05-15,31.7178,31.9975,31.4237,31.6807,30.984,3535287
2023-05-16,31.7266,32.009,31.453,31.7127,31.0163,3651472
2023-05-17,31.7302,32.0269,31.4687,31.7425,31.0465,3767088
2023-05-18,31.7296,32.0559,31.4671,31.7702,31.0746,3880872
2023-05-19,31.7258,32.0818,31.4632,31.7957,31.1005,3991586
2023-05-22,31.7202,32.1047,31.458,31.8188,31.1242,4098031
2023-05-23,31.7139,32.1244,31.4529,31.8396,31.1456,4199069
2023-05-24,31.7081,32.141,31.4491,31.8581,31.1647,4293629
2023-05-25,31.7041,32.1544,31.4477,31.8742,31.1814,4380723
2023-05-26,31.7026,32.1646,31.4496,31.8879,31.1958,4459459
2023-05-29,31.7046,32.1717,31.4554,31.8991,31.2078,4529049
2023-05-30,31.7103,32.1756,31.4656,31.9079,31.2175,4588821
2023-05-31,31.7199,32.1765,31.4802,31.9143,31.2248,4638224
2023-06-01,31.7333,32.1743,31.4991,31.9183,31.2297,4676837
2023-06-02,31.7499,32.1692,31.5218,31.9199,31.2323,4704374
2023-06-05,31.7692,32.1613,31.5474,31.9191,31.2325,4720684
2023-06-06,31.7901,32.1505,31.5751,31.916,31.2305,4725756
2023-06-07,31.8115,32.1371,31.6037,31.9106,31.2262,4719717
2023-06-08,31.8325,32.1212,31.6321,31.9029,31.2197,4702830
2023-06-09,31.8517,32.1028,31.6589,31.893,31.211,4675492
2023-06-12,31.8681,32.0821,31.6832,31.881,31.2003,4638226
2023-06-13,31.8809,32.0733,31.69,31.8669,31.1876,4591678
2023-06-14,31.8892,32.0881,31.6681,31.8509,31.1729,4536604
2023-06-15,31.8926,32.1001,31.6423,31.8329,31.1563,4473865
2023-06-16,31.8907,32.1067,31.6148,31.8131,31.1379,4404412
2023-06-19,31.8836,32.1079,31.5858,31.7916,31.1179,4329277
2023-06-20,31.8715,32.1037,31.5555,31.7684,31.0962,4249558
2023-06-21,31.8548,32.0945,31.5239,31.7437,31.0731,4166407
2023-06-22,31.8341,32.0809,31.4914,31.7176,31.0485,4081012
2023-06-23,31.8101,32.0636,31.4579,31.6902,31.0227,3994588
2023-06-26,31.7835,32.043,31.4238,31.6616,30.9957,3908355
2023-06-27,31.7551,32.0201,31.3891,31.6319,30.9677,3823526
2023-06-28,31.7255,31.9953,31.3541,31.6013,30.9387,3741294
2023-06-29,31.6952,31.9692,31.3188,31.5699,30.909,3662811
2023-06-30,31.6645,31.942,31.2835,31.5378,30.8785,3589180
2023-07-03,31.6338,31.9139,31.2483,31.5051,30.8475,3521436
2023-07-04,31.6028,31.885,31.2134,31.4719,30.8161,3460537
2023-07-05,31.5715,31.8549,31.1789,31.4385,30.7844,3407350
2023-07-06,31.5395,31.8233,31.145,31.405,30.7525,3362638
2023-07-07,31.5063,31.7898,31.1117,31.3714,30.7206,3327055
2023-07-10,31.4716,31.7538,31.0793,31.3379,30.6889,3301134
2023-07-11,31.4346,31.7149,31.0478,31.3047,30.6573,3285283
2023-07-12,31.3951,31.6727,31.0174,31.2718,30.6262,3279777
2023-07-13,31.3527,31.6268,30.9882,31.2395,30.5955,3284756
2023-07-14,31.3073,31.5772,30.9603,31.2078,30.5655,3300224
2023-07-17,31.259,31.524,30.9337,31.1769,30.5362,3326047
2023-07-18,31.2079,31.4674,30.9086,31.1469,30.5078,3361956
2023-07-19,31.1548,31.4081,30.8851,31.1179,30.4804,3407548
2023-07-20,31.1004,31.347,30.8632,31.09,30.4541,3462295
2023-07-21,31.0456,31.3031,30.8252,31.0634,30.429,3525546
2023-07-24,30.9915,31.2705,30.7782,31.0382,30.4053,3596537
2023-07-25,30.9396,31.2391,30.7335,31.0145,30.3831,3674402
2023-07-26,30.8909,31.2089,30.6924,30.9924,30.3624,3758180
2023-07-27,30.8469,31.1802,30.656,30.9719,30.3433,3846829
2023-07-28,30.8086,31.1531,30.6255,30.9532,30.326,3939241
2023-07-31,30.777,31.1278,30.6018,30.9364,30.3105,4034251
2023-08-01,30.7529,31.1097,30.5808,30.9215,30.297,4130654
2023-08-02,30.7368,31.1051,30.5571,30.9087,30.2853,4227220
2023-08-03,30.7289,31.1026,30.5416,30.8979,30.2758,4322710
2023-08-04,30.7291,31.1021,30.5343,30.8893,30.2683,4415890
2023-08-07,30.737,31.1035,30.5349,30.8828,30.263,4505545
2023-08-08,30.7519,31.107,30.5427,30.8787,30.2599,4590498
2023-08-09,30.7728,31.1123,30.5568,30.8768,30.259,4669620
2023-08-10,30.7988,31.1196,30.5764,30.8772,30.2605,4741850
2023-08-11,30.8287,31.1288,30.6001,30.88,30.2642,4806201
2023-08-14,30.8612,31.1399,30.627,30.8852,30.2702,4861779
2023-08-15,30.8951,31.1552,30.6534,30.8927,30.2786,4907790
2023-08-16,30.9295,31.1945,30.659,30.9026,30.2893,4943550
2023-08-17,30.9633,31.2327,30.6675,30.9149,30.3023,4968498
2023-08-18,30.9959,31.2689,30.6789,30.9295,30.3177,4982198
2023-08-21,31.0269,31.3028,30.6933,30.9465,30.3353,4984348
2023-08-22,31.0559,31.3339,30.7108,30.9658,30.3552,4974780
2023-08-23,31.0831,31.3625,30.7311,30.9874,30.3773,4953470
2023-08-24,31.1086,31.3886,30.7544,31.0112,30.4016,4920528
2023-08-25,31.1329,31.4127,30.7805,31.0371,30.4281,4876207
2023-08-28,31.1565,31.4354,30.8095,31.0652,30.4567,4820893
2023-08-29,31.1802,31.4573,30.8412,31.0954,30.4872,4755105
2023-08-30,31.2045,31.4791,30.8755,31.1275,30.5197,4679486
2023-08-31,31.23,31.5015,30.9124,31.1616,30.5541,4594797
2023-09-01,31.2573,31.5249,30.9518,31.1975,30.5903,4501907
2023-09-04,31.2868,31.5498,30.9935,31.2351,30.6282,4401785
2023-09-05,31.3186,31.5765,31.0374,31.2744,30.6677,4295484
2023-09-06,31.3527,31.6049,31.0834,31.3151,30.7087,4184132
2023-09-07,31.389,31.635,31.1313,31.3574,30.7511,4068917
2023-09-08,31.4271,31.6663,31.181,31.4009,30.7948,3951075
2023-09-11,31.4664,31.6985,31.2322,31.4456,30.8397,3831869
2023-09-12,31.5063,31.7309,31.2849,31.4914,30.8856,3712581
2023-09-13,31.5461,31.7629,31.3388,31.5382,30.9325,3594494
2023-09-14,31.5853,31.7945,31.3933,31.5858,30.9802,3478873
2023-09-15,31.6231,31.8346,31.4387,31.6341,31.0286,3366954
2023-09-18,31.6591,31.8752,31.4824,31.6829,31.0775,3259930
2023-09-19,31.693,31.9291,31.512,31.7322,31.1268,3158931
2023-09-20,31.7246,31.9876,31.5356,31.7818,31.1765,3065016
2023-09-21,31.7541,32.0462,31.5571,31.8315,31.2263,2979158
2023-09-22,31.7819,32.1045,31.5771,31.8812,31.2761,2902232
2023-09-25,31.8086,32.1625,31.5962,31.9308,31.3257,2835005
2023-09-26,31.8347,32.2199,31.6151,31.9801,31.3751,2778128
2023-09-27,31.8614,32.2766,31.6348,32.029,31.4241,2732126
2023-09-28,31.8894,32.3322,31.6563,32.0774,31.4726,2697394
2023-09-29,31.9198,32.3866,31.6806,32.125,31.5204,2674191
2023-10-02,31.9535,32.4397,31.7087,32.1718,31.5673,2662639
2023-10-03,31.9912,32.4911,31.7414,32.2177,31.6134,2662718
2023-10-04,32.0336,32.5409,31.7792,32.2624,31.6583,2674272
2023-10-05,32.0809,32.5886,31.8226,32.306,31.702,2697007
2023-10-06,32.1331,32.6343,31.8716,32.3481,31.7445,2730495
2023-10-09,32.1902,32.6778,31.9259,32.3888,31.7854,2774183
2023-10-10,32.2513,32.7189,31.9851,32.4279,31.8248,2827397
2023-10-11,32.3158,32.7574,32.0483,32.4653,31.8626,2889350
2023-10-12,32.3824,32.7933,32.1144,32.5009,31.8985,2959156
2023-10-13,32.4499,32.8265,32.1821,32.5345,31.9326,3035836
2023-10-16,32.517,32.8568,32.25,32.5661,31.9646,3118335
2023-10-17,32.582,32.8841,32.3166,32.5956,31.9946,3205531
2023-10-18,32.6435,32.9293,32.3601,32.6229,32.0225,3296253
2023-10-19,32.7003,32.9827,32.3885,32.6479,32.048,3389292
2023-10-20,32.7512,33.0294,32.4152,32.6705,32.0713,3483420
2023-10-23,32.7952,33.0685,32.4401,32.6907,32.0922,3577400
2023-10-24,32.8317,33.0993,32.4631,32.7084,32.1106,3670007
2023-10-25,32.8603,33.1217,32.4841,32.7236,32.1265,3760039
2023-10-26,32.881,33.1355,32.5031,32.7362,32.1399,3846337
2023-10-27,32.894,33.1411,32.5198,32.7461,32.1507,3927791
2023-10-30,32.8998,33.139,32.5343,32.7534,32.1589,4003362
2023-10-31,32.8991,33.13,32.5465,32.758,32.1645,4072092
2023-11-01,32.8927,33.115,32.5562,32.7598,32.1674,4133113
2023-11-02,32.8815,33.0949,32.5634,32.759,32.1676,4185664
2023-11-03,32.8664,33.0708,32.5681,32.7555,32.1652,4229094
2023-11-06,32.8482,33.0471,32.5668,32.7492,32.1601,4262872
2023-11-07,32.8277,33.0353,32.5497,32.7403,32.1523,4286598
