date,open,high,low,close,adjusted_close,volume
2023-01-03,115.5221,116.7621,114.669,115.8324,112.9366,14247645
2023-01-04,116.2936,117.2027,114.9341,115.7667,112.8762,14015502
2023-01-05,116.1449,117.0268,114.8873,115.6955,112.8105,13761490
2023-01-06,115.9754,116.8284,114.8368,115.6192,112.7398,13488703
2023-01-09,115.7889,116.6118,114.7829,115.5383,112.6647,13200447
2023-01-10,115.5903,116.382,114.7257,115.4532,112.5854,12900191
2023-01-11,115.3846,116.1443,114.6656,115.3644,112.5025,12591529
2023-01-12,115.1772,116.0003,114.508,115.2723,112.4164,12278136
2023-01-13,114.9733,115.8735,114.3342,115.1775,112.3275,11963720
2023-01-16,114.7781,115.7972,114.1202,115.0803,112.2365,11651981
2023-01-17,114.5956,115.7287,113.9103,114.9813,112.1436,11346561
2023-01-18,114.4296,115.6585,113.7172,114.8811,112.0495,11051002
2023-01-19,114.2824,115.5866,113.5436,114.7801,111.9547,10768702
2023-01-20,114.1558,115.5135,113.3914,114.6788,111.8596,10502876
2023-01-23,114.05,115.4394,113.261,114.5778,111.7647,10256512
2023-01-24,113.9645,115.3646,113.1521,114.4776,111.6706,10032339
2023-01-25,113.8977,115.2895,113.0633,114.3787,111.5779,9832792
2023-01-26,113.8473,115.2143,112.9927,114.2817,111.4869,9659983
2023-01-27,113.8107,115.1394,112.9374,114.1871,111.3982,9515675
2023-01-30,113.7844,115.0652,112.8946,114.0953,111.3123,9401263
2023-01-31,113.7655,114.9921,112.8611,114.007,111.2298,9317755
2023-02-01,113.7509,114.9204,112.8342,113.9225,111.151,9265760
2023-02-02,113.738,114.8505,112.8114,113.8424,111.0765,9245486
2023-02-03,113.7246,114.7828,112.7906,113.7672,111.0068,9256732
2023-02-06,113.7096,114.73,112.7586,113.6974,110.9423,9298896
2023-02-07,113.6922,114.7152,112.6927,113.6334,110.8835,9370980
2023-02-08,113.6728,114.6954,112.6356,113.5756,110.8307,9471606
2023-02-09,113.6523,114.6717,112.5876,113.5244,110.7844,9599033
2023-02-10,113.6321,114.6456,112.5492,113.4804,110.7451,9751178
2023-02-13,113.6143,114.619,112.5208,113.4438,110.713,9925643
2023-02-14,113.601,114.5945,112.5025,113.415,110.6886,10119750
2023-02-15,113.5946,114.5743,112.4947,113.3945,110.6721,10330566
2023-02-16,113.5972,114.5607,112.4976,113.3824,110.664,10554950
2023-02-17,113.6105,114.5555,112.5114,113.3791,110.6644,10789587
