date,open,high,low,close,adjusted_close,volume
2023-01-03,18.0223,18.1336,17.6204,17.7211,17.2781,14028674
2023-01-04,17.7308,17.8451,17.6144,17.7195,17.2771,13688399
2023-01-05,17.7154,17.837,17.6059,17.7181,17.2763,13351857
2023-01-06,17.6991,17.8406,17.5855,17.717,17.2758,13023156
2023-01-09,17.6825,17.8444,17.5649,17.7163,17.2757,12706283
2023-01-10,17.6665,17.8485,17.545,17.7161,17.2761,12405047
2023-01-11,17.6516,17.853,17.5265,17.7165,17.277,12123039
2023-01-12,17.6386,17.8579,17.5101,17.7175,17.2786,11863587
2023-01-13,17.6284,17.8632,17.4966,17.7192,17.2808,11629711
2023-01-16,17.6214,17.8689,17.4867,17.7218,17.2838,11424091
2023-01-17,17.6182,17.8753,17.4809,17.7251,17.2877,11249033
2023-01-18,17.6193,17.8822,17.4797,17.7294,17.2924,11106439
2023-01-19,17.6248,17.8897,17.4831,17.7347,17.2982,10997784
2023-01-20,17.6349,17.8979,17.4915,17.7411,17.305,10924104
2023-01-23,17.6493,17.9068,17.5045,17.7486,17.3129,10885977
2023-01-24,17.6678,17.9166,17.5221,17.7573,17.3219,10883517
2023-01-25,17.6901,17.9271,17.5437,17.7673,17.3322,10916380
2023-01-26,17.7155,17.9385,17.5688,17.7785,17.3437,10983760
2023-01-27,17.7434,17.9508,17.5969,17.7911,17.3566,11084406
2023-01-30,17.7732,17.9641,17.6272,17.8051,17.3708,11216637
2023-01-31,17.8042,17.9785,17.6591,17.8206,17.3865,11378362
2023-02-01,17.8358,17.9939,17.692,17.8375,17.4035,11567105
2023-02-02,17.8675,18.0221,17.7138,17.8559,17.4221,11780042
2023-02-03,17.8988,18.0511,17.7359,17.8759,17.4422,12014034
2023-02-06,17.9294,18.0791,17.7599,17.8974,17.4638,12265662
2023-02-07,17.9591,18.1059,17.7858,17.9206,17.4869,12531281
2023-02-08,17.988,18.1315,17.8137,17.9454,17.5117,12807053
2023-02-09,18.016,18.1559,17.8434,17.9717,17.538,13089005
2023-02-10,18.0435,18.1795,17.875,17.9998,17.5659,13373077
2023-02-13,18.0708,18.2027,17.9084,18.0294,17.5954,13655170
2023-02-14,18.0983,18.2258,17.9437,18.0607,17.6265,13931201
2023-02-15,18.1264,18.2494,17.9807,18.0936,17.6593,14197152
2023-02-16,18.1554,18.2738,18.0195,18.1282,17.6936,14449124
2023-02-17,18.1858,18.2995,18.0599,18.1643,17.7294,14683382
2023-02-20,18.2179,18.3276,18.1012,18.2021,17.7668,14896406
2023-02-21,18.2518,18.3667,18.1357,18.2414,17.8058,15084934
2023-02-22,18.2877,18.4078,18.1718,18.2822,17.8462,15246002
2023-02-23,18.3256,18.4508,18.2094,18.3245,17.8881,15376986
2023-02-24,18.3652,18.4985,18.2455,18.3683,17.9315,15475632
2023-02-27,18.4065,18.5487,18.2822,18.4135,17.9762,15540083
2023-02-28,18.4489,18.6,18.3204,18.4601,18.0223,15568910
2023-03-01,18.4923,18.6524,18.3596,18.508,18.0696,15561124
2023-03-02,18.5363,18.7059,18.3996,18.5572,18.1182,15516195
2023-03-03,18.5804,18.7603,18.4401,18.6076,18.168,15434053
2023-03-06,18.6243,18.8155,18.4807,18.6591,18.2189,15315098
2023-03-07,18.6679,18.8715,18.5213,18.7118,18.2709,15160190
2023-03-08,18.711,18.9281,18.5617,18.7654,18.3239,14970642
2023-03-09,18.7536,18.9853,18.602,18.82,18.3778,14748204
2023-03-10,18.7959,19.043,18.6424,18.8755,18.4326,14495044
2023-03-13,18.8381,19.101,18.6832,18.9317,18.4881,14213723
2023-03-14,18.8807,19.1593,18.7246,18.9887,18.5444,13907161
2023-03-15,18.924,19.2178,18.7673,19.0464,18.6013,13578604
2023-03-16,18.9687,19.2763,18.8118,19.1045,18.6587,13231586
2023-03-17,19.0154,19.3349,18.8586,19.1632,18.7166,12869885
2023-03-20,19.0645,19.3933,18.9084,19.2222,18.7749,12497477
2023-03-21,19.1167,19.4516,18.9615,19.2815,18.8334,12118491
2023-03-22,19.1723,19.5097,19.0185,19.3411,18.8922,11737155
2023-03-23,19.2315,19.5674,19.0795,19.4007,18.9511,11357745
2023-03-24,19.2946,19.6247,19.1447,19.4604,19.01,10984537
2023-03-27,19.3614,19.6816,19.214,19.52,19.0689,10621751
2023-03-28,19.4318,19.7379,19.2872,19.5795,19.1276,10273501
2023-03-29,19.5052,19.7936,19.3637,19.6388,19.1862,9943746
2023-03-30,19.581,19.8487,19.4429,19.6977,19.2444,9636239
2023-03-31,19.6586,19.9031,19.5242,19.7562,19.3022,9354485
2023-04-03,19.7371,19.9567,19.6066,19.8143,19.3595,9101695
2023-04-04,19.8155,20.0095,19.6892,19.8717,19.4163,8880751
2023-04-05,19.8931,20.0614,19.771,19.9285,19.4724,8694164
2023-04-06,19.9688,20.1125,19.8512,19.9846,19.5278,8544052
2023-04-07,20.0419,20.1648,19.9268,20.0398,19.5824,8432107
2023-04-10,20.1117,20.2353,19.9806,20.0941,19.6362,8359579
2023-04-11,20.1777,20.3072,20.0286,20.1475,19.689,8327258
2023-04-12,20.2395,20.3748,20.0756,20.1998,19.7408,8335466
2023-04-13,20.297,20.4379,20.1217,20.2511,19.7915,8384053
2023-04-14,20.35,20.4965,20.1667,20.3011,19.8411,8472400
2023-04-17,20.3989,20.5507,20.2106,20.35,19.8894,8599423
2023-04-18,20.4439,20.6008,20.2535,20.3975,19.9366,8763590
2023-04-19,20.4854,20.6471,20.2953,20.4438,19.9824,8962938
2023-04-20,20.5239,20.6902,20.3359,20.4886,20.0269,9195100
2023-04-21,20.56,20.7304,20.3755,20.532,20.07,9457329
2023-04-24,20.5942,20.7682,20.414,20.574,20.1117,9746536
2023-04-25,20.6269,20.8042,20.4514,20.6145,20.1519,10059325
2023-04-26,20.6584,20.8387,20.4876,20.6534,20.1906,10392036
2023-04-27,20.6891,20.8734,20.5211,20.6908,20.2278,10740790
2023-04-28,20.7191,20.9112,20.5494,20.7266,20.2635,11101537
2023-05-01,20.7484,20.9469,20.5773,20.7608,20.2976,11470103
2023-05-02,20.7769,20.9804,20.605,20.7934,20.3302,11842242
2023-05-03,20.8043,21.0119,20.632,20.8244,20.3612,12213689
2023-05-04,20.8304,21.0411,20.6583,20.8539,20.3906,12580210
2023-05-05,20.8548,21.0683,20.6833,20.8817,20.4184,12937658
2023-05-08,20.8772,21.0933,20.7068,20.9079,20.4447,13282017
2023-05-09,20.8974,21.1163,20.7286,20.9325,20.4695,13609454
2023-05-10,20.915,21.1372,20.7483,20.9556,20.4928,13916367
2023-05-11,20.93,21.1561,20.7658,20.9771,20.5145,14199427
2023-05-12,20.9424,21.173,20.7811,20.9972,20.5348,14455617
2023-05-15,20.9523,21.188,20.7943,21.0158,20.5536,14682269
2023-05-16,20.9601,21.2012,20.8058,21.0329,20.571,14877100
2023-05-17,20.9661,21.2126,20.8159,21.0486,20.5871,15038231
2023-05-18,20.971,21.2224,20.8251,21.0631,20.6019,15164218
2023-05-19,20.9754,21.2305,20.834,21.0762,20.6154,15254063
2023-05-22,20.9798,21.2372,20.8433,21.0881,20.6277,15307226
2023-05-23,20.9851,21.2426,20.8535,21.0988,20.6388,15323633
2023-05-24,20.9919,21.2466,20.8654,21.1084,20.6489,15303673
2023-05-25,21.0006,21.2495,20.8792,21.1169,20.6579,15248196
2023-05-26,21.0117,21.2514,20.8956,21.1245,20.666,15158495
2023-05-29,21.0255,21.2635,20.9044,21.1312,20.6732,15036295
2023-05-30,21.0421,21.2751,20.9156,21.137,20.6796,14883729
2023-05-31,21.0613,21.2859,20.9296,21.1421,20.6853,14703309
2023-06-01,21.0829,21.2958,20.946,21.1466,20.6903,14497893
2023-06-02,21.1064,21.305,20.9644,21.1504,20.6948,14270652
2023-06-05,21.1311,21.3135,20.9843,21.1538,20.6987,14025027
2023-06-06,21.1563,21.3213,21.0049,21.1567,20.7023,13764688
2023-06-07,21.1813,21.3505,21.0039,21.1594,20.7056,13493482
2023-06-08,21.2052,21.3787,21.0025,21.1618,20.7086,13215392
2023-06-09,21.2272,21.4047,21.0013,21.1641,20.7115,12934481
2023-06-12,21.2468,21.4278,21.0004,21.1663,20.7144,12654841
2023-06-13,21.2632,21.4473,21.0,21.1686,20.7173,12380546
2023-06-14,21.2762,21.4628,21.0001,21.171,20.7203,12115595
2023-06-15,21.2854,21.4741,21.0009,21.1736,20.7236,11863864
2023-06-16,21.2909,21.4811,21.0025,21.1766,20.7272,11629059
2023-06-19,21.2929,21.4841,21.005,21.1799,20.7311,11414663
2023-06-20,21.2917,21.4833,21.0084,21.1838,20.7356,11223901
2023-06-21,21.2878,21.4793,21.0129,21.1882,20.7406,11059691
2023-06-22,21.282,21.4727,21.0186,21.1933,20.7463,10924610
2023-06-23,21.2748,21.4644,21.0254,21.1992,20.7527,10820863
2023-06-26,21.2672,21.4551,21.0336,21.2059,20.7599,10750251
2023-06-27,21.2599,21.4455,21.0431,21.2135,20.768,10714152
2023-06-28,21.2535,21.4365,21.054,21.2221,20.7771,10713500
2023-06-29,21.2488,21.4286,21.0665,21.2317,20.7873,10748772
2023-06-30,21.2462,21.4224,21.0804,21.2425,20.7985,10819985
2023-07-03,21.2461,21.4269,21.0875,21.2545,20.8109,10926692
2023-07-04,21.2486,21.4359,21.094,21.2677,20.8245,11067986
2023-07-05,21.254,21.446,21.1036,21.2823,20.8395,11242513
2023-07-06,21.262,21.4571,21.1161,21.2982,20.8557,11448487
2023-07-07,21.2725,21.4693,21.1313,21.3155,20.8734,11683709
2023-07-10,21.2853,21.4828,21.149,21.3343,20.8925,11945598
2023-07-11,21.3,21.4977,21.1687,21.3546,20.9131,12231219
2023-07-12,21.3163,21.514,21.1902,21.3765,20.9351,12537318
2023-07-13,21.3339,21.5317,21.213,21.3999,20.9588,12860365
2023-07-14,21.3527,21.5559,21.2326,21.4249,20.9839,13196593
2023-07-17,21.3724,21.5885,21.2469,21.4516,21.0107,13542048
2023-07-18,21.3932,21.6227,21.2622,21.4798,21.0391,13892634
2023-07-19,21.4151,21.6585,21.2788,21.5098,21.0691,14244167
2023-07-20,21.4384,21.6958,21.2969,21.5413,21.1007,14592421
2023-07-21,21.4634,21.7346,21.317,21.5746,21.134,14933185
2023-07-24,21.4907,21.7748,21.3394,21.6094,21.1688,15262312
2023-07-25,21.5208,21.8163,21.3649,21.6459,21.2053,15575772
2023-07-26,21.5541,21.8592,21.394,21.6841,21.2433,15869699
2023-07-27,21.5913,21.9033,21.4271,21.7238,21.2829,16140439
2023-07-28,21.6326,21.9487,21.4648,21.7651,21.3241,16384600
2023-07-31,21.6786,21.9951,21.5074,21.8079,21.3667,16599088
2023-08-01,21.7293,22.0426,21.5551,21.8523,21.4109,16781146
2023-08-02,21.7847,22.0911,21.608,21.8981,21.4565,16928391
2023-08-03,21.8448,22.1406,21.666,21.9453,21.5034,17038844
2023-08-04,21.9091,22.1909,21.7286,21.9939,21.5517,17110951
2023-08-07,21.9771,22.2419,21.7953,22.0438,21.6013,17143605
2023-08-08,22.048,22.2937,21.8655,22.0949,21.6521,17136160
2023-08-09,22.1211,22.3462,21.9382,22.1472,21.7041,17088439
2023-08-10,22.1953,22.3992,22.0127,22.2006,21.7572,17000736
2023-08-11,22.2698,22.4675,22.0733,22.2551,21.8113,16873815
2023-08-14,22.3434,22.5398,22.1301,22.3105,21.8663,16708899
2023-08-15,22.4154,22.61,22.1883,22.3669,21.9222,16507657
2023-08-16,22.4849,22.6771,22.2477,22.424,21.9789,16272183
2023-08-17,22.5514,22.7406,22.3083,22.4818,22.0364,16004972
2023-08-18,22.6142,22.8,22.3699,22.5403,22.0944,15708888
2023-08-21,22.6733,22.8552,22.4324,22.5993,22.1529,15387134
2023-08-22,22.7285,22.9061,22.4958,22.6587,22.2119,15043207
2023-08-23,22.78,22.9529,22.5599,22.7185,22.2713,14680860
2023-08-24,22.8282,22.9961,22.6245,22.7785,22.3309,14304058
2023-08-25,22.8737,23.0362,22.6895,22.8387,22.3906,13916925
2023-08-28,22.917,23.0739,22.7548,22.899,22.4504,13523698
2023-08-29,22.9589,23.1103,22.8199,22.9592,22.5102,13128674
2023-08-30,23.0002,23.1645,22.8666,23.0193,22.5698,12736159
2023-08-31,23.0414,23.2185,22.9134,23.0791,22.6292,12350416
2023-09-01,23.0833,23.2828,22.951,23.1385,22.6882,11975614
2023-09-04,23.1264,23.3484,22.9881,23.1976,22.7468,11615774
2023-09-05,23.171,23.4135,23.0267,23.2561,22.8049,11274727
2023-09-06,23.2174,23.4778,23.0672,23.3139,22.8624,10956061
2023-09-07,23.2655,23.5412,23.1096,23.371,22.9192,10663084
2023-09-08,23.3151,23.6035,23.1538,23.4273,22.9751,10398779
2023-09-11,23.3661,23.6647,23.1995,23.4827,23.0302,10165774
2023-09-12,23.4179,23.7245,23.2463,23.537,23.0842,9966305
2023-09-13,23.4702,23.7828,23.2939,23.5903,23.1372,9802194
2023-09-14,23.5223,23.8396,23.3417,23.6424,23.1891,9674826
2023-09-15,23.5737,23.8947,23.3893,23.6932,23.2397,9585133
2023-09-18,23.624,23.9479,23.4361,23.7427,23.289,9533584
2023-09-19,23.6727,23.9992,23.4819,23.7908,23.3369,9520180
2023-09-20,23.7197,24.0485,23.5265,23.8374,23.3834,9544456
2023-09-21,23.7648,24.0957,23.5696,23.8825,23.4284,9605488
2023-09-22,23.808,24.1407,23.6115,23.9259,23.4718,9701905
2023-09-25,23.8496,24.1834,23.6522,23.9677,23.5136,9831906
2023-09-26,23.8897,24.2238,23.692,24.0078,23.5537,9993286
2023-09-27,23.9289,24.2619,23.7314,24.0462,23.5921,10183462
2023-09-28,23.9675,24.2975,23.7709,24.0827,23.6287,10399507
2023-09-29,24.0061,24.3307,23.8108,24.1175,23.6635,10638188
2023-10-02,24.045,24.3615,23.8515,24.1503,23.6965,10896004
2023-10-03,24.0846,24.3898,23.8935,24.1813,23.7277,11169235
2023-10-04,24.1251,24.4157,23.9369,24.2104,23.757,11453984
2023-10-05,24.1666,24.4391,23.9817,24.2375,23.7844,11746228
2023-10-06,24.209,24.4601,24.0278,24.2628,23.81,12041870
2023-10-09,24.252,24.4787,24.075,24.2861,23.8336,12336788
2023-10-10,24.295,24.495,24.1226,24.3075,23.8554,12626891
2023-10-11,24.3376,24.5198,24.1594,24.3269,23.8753,12908163
2023-10-12,24.3788,24.5554,24.1823,24.3445,23.8933,13176720
2023-10-13,24.4178,24.5885,24.2036,24.3602,23.9095,13428857
2023-10-16,24.4536,24.6182,24.2232,24.3741,23.9239,13661091
2023-10-17,24.4855,24.6437,24.2412,24.3862,23.9365,13870211
2023-10-18,24.5124,24.6642,24.2575,24.3964,23.9474,14053312
2023-10-19,24.5338,24.683,24.2685,24.405,23.9566,14207835
2023-10-20,24.5491,24.7051,24.2692,24.4119,23.9641,14331598
2023-10-23,24.558,24.7206,24.2684,24.4172,23.9701,14422824
2023-10-24,24.5604,24.7295,24.2662,24.4209,23.9745,14480164
2023-10-25,24.5564,24.7318,24.2626,24.4231,23.9775,14502710
2023-10-26,24.5464,24.7278,24.2578,24.4239,23.979,14490014
2023-10-27,24.5311,24.7182,24.252,24.4233,23.9793,14442087
2023-10-30,24.5113,24.7036,24.2452,24.4215,23.9782,14359401
2023-10-31,24.4878,24.6851,24.2375,24.4185,23.9761,14242886
2023-11-01,24.4618,24.6635,24.2292,24.4144,23.9728,14093915
2023-11-02,24.4343,24.64,24.2203,24.4093,23.9686,13914291
2023-11-03,24.4064,24.6155,24.2109,24.4032,23.9634,13706222
2023-11-06,24.379,24.6086,24.1839,24.3964,23.9575,13472294
2023-11-07,24.353,24.6036,24.1557,24.3888,23.9509,13215440
2023-11-08,24.329,24.5974,24.13,24.3807,23.9436,12938903
2023-11-09,24.3075,24.5902,24.1073,24.372,23.9359,12646198
2023-11-10,24.2889,24.5819,24.088,24.363,23.9278,12341065
2023-11-13,24.2732,24.5728,24.0722,24.3536,23.9194,12027423
2023-11-14,24.2602,24.5629,24.0596,24.3441,23.9108,11709327
2023-11-15,24.2498,24.5523,24.0502,24.3345,23.9022,11390910
2023-11-16,24.2417,24.5411,24.0435,24.325,23.8936,11076336
2023-11-17,24.2353,24.5296,24.039,24.3156,23.8851,10769747
2023-11-20,24.2302,24.5178,24.0364,24.3065,23.877,10475211
2023-11-21,24.2259,24.5058,24.0351,24.2977,23.8692,10196673
2023-11-22,24.2223,24.4938,24.0348,24.2895,23.8619,9937905
2023-11-23,24.2188,24.4819,24.0353,24.2819,23.8552,9702457
2023-11-24,24.2156,24.4703,24.0363,24.275,23.8491,9493615
2023-11-27,24.2125,24.4591,24.0379,24.2689,23.8439,9314358
2023-11-28,24.2097,24.4485,24.0401,24.2637,23.8396,9167322
2023-11-29,24.2077,24.4386,24.0433,24.2596,23.8363,9054767
2023-11-30,24.2066,24.4296,24.0478,24.2566,23.8342,8978544
2023-12-01,24.2072,24.4215,24.054,24.2548,23.8332,8940078
2023-12-04,24.2098,24.4147,24.0625,24.2543,23.8335,8940344
2023-12-05,24.215,24.4091,24.0737,24.2553,23.8352,8979858
2023-12-06,24.2232,24.405,24.0879,24.2577,23.8384,9058664
2023-12-07,24.2349,24.4122,24.0966,24.2617,23.8431,9176341
2023-12-08,24.2502,24.4245,24.1058,24.2674,23.8495,9332000
2023-12-11,24.2693,24.4384,24.1188,24.2748,23.8575,9524294
2023-12-12,24.2919,24.462,24.1276,24.284,23.8674,9751441
2023-12-13,24.3179,24.4942,24.133,24.2951,23.879,10011234
2023-12-14,24.3466,24.5291,24.1404,24.3081,23.8925,10301077
2023-12-15,24.3777,24.566,24.1501,24.323,23.908,10618010
2023-12-18,24.4102,24.6041,24.1622,24.34,23.9255,10958746
2023-12-19,24.4435,24.6425,24.1766,24.359,23.945,11319709
2023-12-20,24.4767,24.6805,24.1935,24.3802,23.9665,11697081
2023-12-21,24.5091,24.7171,24.2129,24.4034,23.9902,12086844
2023-12-22,24.54,24.7518,24.2349,24.4288,24.0159,12484827
2023-12-25,24.5689,24.7839,24.2596,24.4564,24.0438,12886763
2023-12-26,24.5954,24.813,24.2869,24.4861,24.0738,13288332
2023-12-27,24.6194,24.839,24.3168,24.5181,24.106,13685221
2023-12-28,24.6409,24.8619,24.3495,24.5522,24.1403,14073169
2023-12-29,24.6602,24.8821,24.3849,24.5884,24.1768,14448024
2024-01-01,24.6779,24.9,24.423,24.6269,24.2154,14805789
2024-01-02,24.6947,24.9163,24.4638,24.6674,24.256,15142671
2024-01-03,24.7114,24.9319,24.5072,24.7101,24.2988,15455129
2024-01-04,24.7289,24.974,24.5275,24.7548,24.3436,15739915
2024-01-05,24.7483,25.0188,24.5489,24.8016,24.3904,15994111
2024-01-08,24.7704,25.065,24.5736,24.8504,24.4391,16215166
2024-01-09,24.7964,25.1127,24.6025,24.9011,24.4898,16400927
2024-01-10,24.8268,25.1617,24.6364,24.9537,24.5423,16549662
2024-01-11,24.8624,25.212,24.6758,25.0081,24.5966,16660083
2024-01-12,24.9035,25.2637,24.7212,25.0643,24.6527,16731358
2024-01-15,24.9504,25.3166,24.7727,25.1221,24.7104,16763123
2024-01-16,25.003,25.3707,24.8302,25.1815,24.7696,16755485
2024-01-17,25.0611,25.4261,24.8934,25.2425,24.8304,16709016
2024-01-18,25.1243,25.4825,24.962,25.3049,24.8926,16624752
2024-01-19,25.1919,25.5401,25.0352,25.3686,24.9561,16504172
2024-01-22,25.2633,25.5988,25.1124,25.4336,25.0208,16349185
2024-01-23,25.3377,25.6584,25.1926,25.4997,25.0867,16162102
2024-01-24,25.4142,25.7216,25.2728,25.5669,25.1536,15945607
2024-01-25,25.4923,25.7971,25.344,25.635,25.2215,15702725
2024-01-26,25.5711,25.8734,25.416,25.704,25.2901,15436783
2024-01-29,25.6502,25.9504,25.4884,25.7737,25.3595,15151367
2024-01-30,25.7291,26.0278,25.5607,25.844,25.4295,14850281
2024-01-31,25.8077,26.1056,25.6329,25.9148,25.5,14537494
2024-02-01,25.8858,26.1834,25.7048,25.986,25.5709,14217096
2024-02-02,25.9636,26.2613,25.7767,26.0574,25.6421,13893243
2024-02-05,26.0411,26.3389,25.8487,26.1291,25.7134,13570110
2024-02-06,26.1188,26.4162,25.9212,26.2007,25.7847,13251833
2024-02-07,26.1969,26.4929,25.9945,26.2723,25.856,12942462
2024-02-08,26.2756,26.5689,26.0689,26.3437,25.9271,12645910
2024-02-09,26.3553,26.6441,26.1448,26.4148,25.9979,12365906
2024-02-12,26.4361,26.7183,26.2222,26.4854,26.0683,12105944
2024-02-13,26.518,26.7914,26.3013,26.5555,26.1382,11869246
2024-02-14,26.6008,26.8632,26.3818,26.625,26.2074,11658717
2024-02-15,26.6841,26.9336,26.4635,26.6938,26.2759,11476913
2024-02-16,26.7675,27.0084,26.5401,26.7616,26.3436,11326007
2024-02-19,26.8503,27.0917,26.6067,26.8286,26.4103,11207766
2024-02-20,26.9317,27.1728,26.6728,26.8944,26.476,11123522
2024-02-21,27.0107,27.251,26.7385,26.9591,26.5406,11074165
2024-02-22,27.0865,27.3252,26.8035,27.0226,26.6039,11060125
2024-02-23,27.1582,27.3947,26.8678,27.0847,26.666,11081372
2024-02-26,27.2249,27.4585,26.9312,27.1455,26.7266,11137414
2024-02-27,27.286,27.516,26.9938,27.2047,26.7858,11227303
2024-02-28,27.341,27.5668,27.0552,27.2624,26.8435,11349649
2024-02-29,27.3896,27.6106,27.1156,27.3184,26.8995,11502639
2024-03-01,27.4317,27.6474,27.1747,27.3728,26.9539,11684055
2024-03-04,27.4677,27.6776,27.2325,27.4253,27.0066,11891306
2024-03-05,27.498,27.7017,27.2889,27.4761,27.0575,12121461
2024-03-06,27.5234,27.7222,27.342,27.5251,27.1066,12371281
2024-03-07,27.5447,27.7626,27.3697,27.5721,27.1538,12637268
2024-03-08,27.5631,27.8007,27.3946,27.6173,27.1991,12915699
2024-03-11,27.5796,27.8368,27.4179,27.6605,27.2426,13202681
2024-03-12,27.5954,27.8708,27.4405,27.7017,27.2841,13494196
2024-03-13,27.6116,27.9122,27.4548,27.741,27.3236,13786152
2024-03-14,27.6291,27.9572,27.4654,27.7783,27.3613,14074434
2024-03-15,27.6489,28.0002,27.4782,27.8136,27.3969,14354958
2024-03-18,27.6713,28.041,27.4939,27.8469,27.4306,14623717
