date,open,high,low,close,adjusted_close,volume
2023-01-03,72.9641,73.4988,70.7633,71.2436,69.4625,5320113
2023-01-04,71.1652,71.7328,70.6699,71.1941,69.4165,5196552
2023-01-05,71.0687,71.7023,70.5592,71.1479,69.3737,5080349
2023-01-06,70.9732,71.6742,70.4506,71.1051,69.3343,4972921
2023-01-09,70.881,71.6487,70.3464,71.0661,69.2986,4875562
2023-01-10,70.7945,71.626,70.2491,71.0312,69.2668,4789435
2023-01-11,70.7165,71.6062,70.1615,71.0005,69.2392,4715549
2023-01-12,70.6494,71.5895,70.0861,70.9744,69.216,4654754
2023-01-13,70.5958,71.576,70.0256,70.953,69.1974,4607725
2023-01-16,70.5578,71.5659,69.9819,70.9366,69.1836,4574957
2023-01-17,70.5369,71.5593,69.9569,70.9253,69.1749,4556759
2023-01-18,70.5343,71.5563,69.9515,70.9194,69.1714,4553250
2023-01-19,70.5505,71.5572,69.9664,70.919,69.1732,4564355
2023-01-20,70.5852,71.562,70.0012,70.9242,69.1806,4589811
2023-01-23,70.6375,71.5709,70.0551,70.9352,69.1936,4629167
2023-01-24,70.7059,71.584,70.1266,70.9521,69.2124,4681791
2023-01-25,70.7882,71.6015,70.2134,70.975,69.237,4746878
2023-01-26,70.8821,71.6234,70.3132,71.004,69.2676,4823461
2023-01-27,70.9846,71.6499,70.4231,71.0392,69.3041,4910420
2023-01-30,71.0928,71.6936,70.5279,71.0805,69.3468,5006501
2023-01-31,71.204,71.7938,70.5861,71.1281,69.3955,5110328
2023-02-01,71.3155,71.8929,70.6517,71.182,69.4503,5220422
2023-02-02,71.4248,71.9886,70.7246,71.242,69.5111,5335219
2023-02-03,71.5303,72.0793,70.8048,71.3083,69.5781,5453091
2023-02-06,71.6307,72.1638,70.892,71.3807,69.6511,5572365
2023-02-07,71.7253,72.2415,70.9861,71.4593,69.73,5691343
2023-02-08,71.814,72.3126,71.0869,71.5438,69.8148,5808326
2023-02-09,71.8975,72.3777,71.1941,71.6343,69.9054,5921636
