date,open,high,low,close,adjusted_close,volume
2023-01-03,38.9257,39.2476,37.5875,37.8757,36.9288,3806306
2023-01-04,37.7869,38.1563,37.4936,37.837,36.8922,3739154
2023-01-05,37.7306,38.1255,37.4325,37.8008,36.8582,3681157
2023-01-06,37.6766,38.0966,37.3745,37.7675,36.8269,3633018
2023-01-09,37.6259,38.0698,37.3206,37.737,36.7984,3595308
2023-01-10,37.5795,38.045,37.2717,37.7094,36.7727,3568461
2023-01-11,37.5386,38.0223,37.2292,37.6848,36.7499,3552769
2023-01-12,37.5043,38.0018,37.1941,37.6632,36.73,3548376
2023-01-13,37.4777,37.9835,37.1674,37.6447,36.7132,3555279
2023-01-16,37.4596,37.9674,37.15,37.6294,36.6995,3573328
2023-01-17,37.4506,37.9536,37.1425,37.6172,36.6889,3602226
2023-01-18,37.4511,37.9421,37.1452,37.6083,36.6813,3641535
2023-01-19,37.461,37.933,37.1582,37.6026,36.677,3690680
2023-01-20,37.4801,37.9263,37.181,37.6001,36.6757,3748955
2023-01-23,37.5076,37.9219,37.2129,37.6008,36.6776,3815538
2023-01-24,37.5426,37.92,37.253,37.6047,36.6826,3889492
2023-01-25,37.5838,37.9206,37.2999,37.6118,36.6908,3969786
2023-01-26,37.6297,37.9314,37.3445,37.622,36.7019,4055301
2023-01-27,37.6787,37.9729,37.365,37.6354,36.7162,4144848
2023-01-30,37.7293,38.0154,37.3891,37.6517,36.7333,4237182
2023-01-31,37.7798,38.0573,37.4165,37.6711,36.7535,4331016
2023-02-01,37.8289,38.0973,37.4473,37.6934,36.7764,4425039
2023-02-02,37.8753,38.1343,37.4812,37.7185,36.8021,4517933
2023-02-03,37.918,38.1673,37.5181,37.7464,36.8305,4608387
2023-02-06,37.9566,38.1959,37.5579,37.777,36.8615,4695115
2023-02-07,37.9906,38.2198,37.6002,37.81,36.895,4776875
2023-02-08,38.0203,38.2575,37.6283,37.8456,36.9309,4852477
2023-02-09,38.0459,38.2936,37.6565,37.8834,36.9691,4920806
2023-02-10,38.0681,38.3261,37.687,37.9234,37.0093,4980834
2023-02-13,38.0879,38.356,37.7197,37.9655,37.0516,5031627
2023-02-14,38.1064,38.3841,37.7547,38.0096,37.0958,5072368
2023-02-15,38.1246,38.4117,37.7917,38.0554,37.1417,5102356
2023-02-16,38.1437,38.4396,37.8309,38.1028,37.1893,5121024
2023-02-17,38.1646,38.4688,37.8719,38.1517,37.2382,5127940
2023-02-20,38.1883,38.5139,37.9014,38.2019,37.2884,5122818
2023-02-21,38.2155,38.5726,37.922,38.2533,37.3398,5105516
2023-02-22,38.2464,38.6315,37.9471,38.3056,37.3921,5076044
2023-02-23,38.2813,38.6904,37.9768,38.3588,37.4452,5034561
2023-02-24,38.32,38.7492,38.011,38.4126,37.499,4981373
2023-02-27,38.362,38.8076,38.0494,38.4669,37.5532,4916933
2023-02-28,38.4068,38.8654,38.0913,38.5214,37.6077,4841831
2023-03-01,38.4537,38.9224,38.1362,38.5761,37.6623,4756791
2023-03-02,38.5018,38.9783,38.1831,38.6307,37.7169,4662660
2023-03-03,38.5503,39.0331,38.2313,38.6851,37.7712,4560401
2023-03-06,38.5984,39.0865,38.2799,38.7391,37.8251,4451078
2023-03-07,38.6454,39.1383,38.3284,38.7924,37.8785,4335844
2023-03-08,38.691,39.1885,38.3763,38.8451,37.9311,4215929
2023-03-09,38.7349,39.2367,38.4234,38.8968,37.9829,4092625
2023-03-10,38.777,39.283,38.4695,38.9473,38.0335,3967267
2023-03-13,38.8176,39.3272,38.515,38.9967,38.0829,3841222
2023-03-14,38.8572,39.3691,38.5601,39.0446,38.131,3715868
2023-03-15,38.8965,39.4086,38.6056,39.0909,38.1774,3592580
2023-03-16,38.9361,39.4457,38.6521,39.1355,38.2223,3472713
2023-03-17,38.9769,39.4803,38.7004,39.1782,38.2652,3357584
2023-03-20,39.0196,39.5123,38.7511,39.2189,38.3062,3248457
2023-03-21,39.0649,39.5415,38.8048,39.2575,38.3451,3146531
2023-03-22,39.1132,39.5681,38.8619,39.2937,38.3818,3052918
2023-03-23,39.1648,39.592,38.9226,39.3276,38.4162,2968638
2023-03-24,39.2196,39.613,38.9867,39.3589,38.448,2894599
2023-03-27,39.2772,39.6312,39.0538,39.3877,38.4774,2831594
2023-03-28,39.337,39.6537,39.1166,39.4137,38.504,2780282
2023-03-29,39.3977,39.6877,39.1672,39.4369,38.528,2741190
2023-03-30,39.4583,39.7199,39.2165,39.4572,38.549,2714699
2023-03-31,39.517,39.7895,39.2241,39.4745,38.5672,2701044
2023-04-03,39.5724,39.8554,39.229,39.4888,38.5825,2700309
2023-04-04,39.6228,39.9158,39.2312,39.5,38.5947,2712427
2023-04-05,39.6664,39.9691,39.2307,39.5081,38.6038,2737180
2023-04-06,39.7019,40.0137,39.2275,39.513,38.6099,2774204
2023-04-07,39.7279,40.0482,39.2217,39.5147,38.6128,2822992
2023-04-10,39.7436,40.0715,39.2133,39.5132,38.6126,2882900
2023-04-11,39.7484,40.0831,39.2023,39.5084,38.6092,2953156
2023-04-12,39.7421,40.0827,39.1889,39.5004,38.6027,3032869
2023-04-13,39.7248,40.0704,39.1731,39.4892,38.593,3121040
2023-04-14,39.6972,40.0468,39.1549,39.4748,38.5802,3216575
2023-04-17,39.6602,40.0128,39.1345,39.4573,38.5643,3318298
2023-04-18,39.6149,39.9696,39.1118,39.4366,38.5454,3424965
2023-04-19,39.5629,39.9185,39.0869,39.4128,38.5234,3535281
2023-04-20,39.5056,39.8612,39.0599,39.386,38.4984,3647915
2023-04-21,39.4447,39.7991,39.0309,39.3562,38.4706,3761514
2023-04-24,39.3815,39.7339,38.9999,39.3236,38.4399,3874724
2023-04-25,39.3174,39.6667,38.967,39.2881,38.4065,3986203
2023-04-26,39.2536,39.5989,38.9322,39.25,38.3705,4094641
2023-04-27,39.1908,39.5499,38.8775,39.2092,38.3319,4198771
2023-04-28,39.1298,39.501,38.8217,39.1659,38.2908,4297389
