date,open,high,low,close,adjusted_close,volume
2023-01-03,96.7188,97.5828,93.4739,94.2484,91.8922,9366702
2023-01-04,93.9616,95.2142,93.1855,94.367,92.0109,9321046
2023-01-05,94.0649,95.3439,93.2861,94.4936,92.1373,9304677
2023-01-06,94.1759,95.4794,93.3966,94.6282,92.2716,9317760
2023-01-09,94.2963,95.6206,93.5185,94.7709,92.4138,9360078
2023-01-10,94.428,95.7677,93.6537,94.9218,92.5639,9431027
2023-01-11,94.5731,95.9208,93.8044,95.0807,92.7219,9529628
2023-01-12,94.7338,96.0797,93.9726,95.2477,92.8879,9654539
2023-01-13,94.912,96.2445,94.1601,95.4228,93.0617,9804070
2023-01-16,95.1093,96.4153,94.3685,95.6059,93.2433,9976205
2023-01-17,95.3267,96.592,94.5987,95.7968,93.4325,10168630
2023-01-18,95.5645,96.7746,94.8509,95.9955,93.6294,10378755
2023-01-19,95.8225,96.9632,95.1247,96.2018,93.8337,10603755
2023-01-20,96.0993,97.1576,95.4188,96.4155,94.0452,10840597
2023-01-23,96.393,97.3579,95.7309,96.6365,94.2639,11086086
2023-01-24,96.7008,97.564,96.0583,96.8645,94.4894,11336896
2023-01-25,97.0194,97.7759,96.3975,97.0993,94.7215,11589620
2023-01-26,97.345,97.9979,96.7401,97.3407,94.9601,11840808
2023-01-27,97.6735,98.3024,97.0102,97.5883,95.2048,12087011
2023-01-30,98.0007,98.6051,97.2867,97.8419,95.4554,12324822
2023-01-31,98.3227,98.923,97.5502,98.1012,95.7115,12550926
2023-02-01,98.6361,99.2651,97.7887,98.3658,95.9728,12762132
2023-02-02,98.9378,99.5953,98.0323,98.6354,96.239,12955419
2023-02-03,99.2258,99.9113,98.2809,98.9096,96.5097,13127975
2023-02-06,99.4987,100.2116,98.5342,99.188,96.7845,13277228
2023-02-07,99.7562,100.4955,98.7921,99.4703,97.0631,13400881
2023-02-08,99.9989,100.7634,99.0543,99.756,97.3451,13496942
2023-02-09,100.2283,101.0167,99.3207,100.0447,97.63,13563748
2023-02-10,100.4466,101.2573,99.5909,100.336,97.9175,13599986
2023-02-13,100.6566,101.488,99.8647,100.6294,98.2071,13604713
2023-02-14,100.8616,101.7754,100.0793,100.9246,98.4984,13577364
2023-02-15,101.065,102.0894,100.2673,101.221,98.7909,13517766
2023-02-16,101.2702,102.4022,100.4589,101.5182,99.0842,13426134
2023-02-17,101.4804,102.7131,100.6575,101.8157,99.3778,13303075
2023-02-20,101.6981,103.0215,100.8657,102.1131,99.6714,13149579
2023-02-21,101.9255,103.327,101.0857,102.4099,99.9644,12967008
2023-02-22,102.1636,103.629,101.3187,102.7056,100.2563,12757081
2023-02-23,102.4131,103.9268,101.5652,102.9998,100.5468,12521852
2023-02-24,102.6736,104.2202,101.8249,103.2921,100.8354,12263689
2023-02-27,102.9439,104.5085,102.0968,103.5819,101.1217,11985242
2023-02-28,103.2224,104.7913,102.379,103.8689,101.4051,11689413
2023-03-01,103.5068,105.0684,102.6695,104.1525,101.6854,11379323
2023-03-02,103.7946,105.3391,102.9655,104.4324,101.962,11058270
2023-03-03,104.0832,105.6033,103.2645,104.7081,102.2345,10729695
2023-03-06,104.3699,105.8606,103.5638,104.9793,102.5026,10397136
2023-03-07,104.6527,106.1107,103.8611,105.2454,102.7659,10064187
2023-03-08,104.9296,106.3534,104.1545,105.5062,103.0239,9734455
2023-03-09,105.1996,106.5884,104.4427,105.7613,103.2764,9411516
2023-03-10,105.4619,106.8157,104.7248,106.0104,103.523,9098873
2023-03-13,105.7167,107.0349,105.0009,106.253,103.7633,8799909
2023-03-14,105.9646,107.2461,105.2714,106.4889,103.9971,8517854
2023-03-15,106.2069,107.4491,105.5373,106.7177,104.224,8255740
2023-03-16,106.4451,107.6439,105.7998,106.9393,104.4438,8016365
2023-03-17,106.6809,107.8304,106.0607,107.1533,104.6563,7802263
2023-03-20,106.916,108.0088,106.3212,107.3596,104.8611,7615670
2023-03-21,107.1521,108.2274,106.5384,107.5578,105.0582,7458497
2023-03-22,107.3901,108.4478,106.7483,107.7479,105.2473,7332311
2023-03-23,107.6306,108.6595,106.961,107.9296,105.4283,7238312
2023-03-24,107.8734,108.862,107.1765,108.1028,105.6009,7177320
2023-03-27,108.1176,109.055,107.394,108.2674,105.7652,7149770
2023-03-28,108.3613,109.2383,107.612,108.4234,105.921,7155698
2023-03-29,108.6021,109.4432,107.797,108.5706,106.0683,7194751
2023-03-30,108.8367,109.7029,107.913,108.709,106.207,7266186
2023-03-31,109.0616,109.9512,108.0218,108.8386,106.3372,7368881
2023-04-03,109.2728,110.1839,108.1237,108.9595,106.4587,7501350
2023-04-04,109.4664,110.3967,108.2188,109.0716,106.5718,7661759
2023-04-05,109.6386,110.5857,108.3073,109.1751,106.6763,7847955
2023-04-06,109.7861,110.7475,108.3895,109.2699,106.7725,8057485
2023-04-07,109.9062,110.8793,108.4656,109.3564,106.8605,8287633
2023-04-10,109.9974,110.9792,108.5358,109.4345,106.9403,8535452
2023-04-11,110.0586,111.0463,108.6004,109.5045,107.0122,8797798
2023-04-12,110.0905,111.081,108.6596,109.5665,107.0764,9071372
2023-04-13,110.0942,111.0846,108.7136,109.6209,107.133,9352758
2023-04-14,110.0723,111.0597,108.7626,109.6677,107.1823,9638469
2023-04-17,110.0282,111.0096,108.807,109.7073,107.2245,9924988
2023-04-18,109.9659,110.9385,108.847,109.74,107.26,10208808
2023-04-19,109.89,110.8512,108.8828,109.7661,107.289,10486482
2023-04-20,109.8054,110.7526,108.9146,109.7859,107.3118,10754661
2023-04-21,109.7169,110.7312,108.8606,109.7997,107.3288,11010135
2023-04-24,109.6292,110.7216,108.7899,109.8079,107.3404,11249874
2023-04-25,109.5462,110.7047,108.726,109.8109,107.3469,11471064
2023-04-26,109.4714,110.6809,108.6718,109.8092,107.3487,11671144
2023-04-27,109.4072,110.651,108.6299,109.803,107.3461,11847832
2023-04-28,109.3554,110.6155,108.6015,109.7928,107.3397,11999160
2023-05-01,109.3165,110.5751,108.5872,109.7792,107.3299,12123490
2023-05-02,109.2902,110.5305,108.5866,109.7624,107.317,12219541
2023-05-03,109.2757,110.4823,108.5984,109.743,107.3015,12286399
2023-05-04,109.2712,110.4313,108.6207,109.7214,107.284,12323530
2023-05-05,109.2745,110.3782,108.6513,109.6982,107.2647,12330787
2023-05-08,109.2833,110.3398,108.6727,109.6737,107.2443,12308409
2023-05-09,109.2953,110.3443,108.6572,109.6485,107.2231,12257019
2023-05-10,109.3083,110.3481,108.6431,109.623,107.2017,12177614
2023-05-11,109.3206,110.3516,108.6288,109.5978,107.1806,12071555
2023-05-12,109.331,110.3551,108.6133,109.5732,107.1601,11940547
2023-05-15,109.3389,110.3587,108.5963,109.5499,107.1408,11786616
2023-05-16,109.3445,110.3627,108.5781,109.5282,107.1231,11612089
2023-05-17,109.3486,110.3674,108.5598,109.5086,107.1074,11419557
2023-05-18,109.3526,110.373,108.5428,109.4917,107.0944,11211847
2023-05-19,109.3583,110.3798,108.5294,109.4778,107.0843,10991986
2023-05-22,109.368,110.3882,108.5216,109.4674,107.0776,10763160
2023-05-23,109.3838,110.3983,108.522,109.461,107.0748,10528678
2023-05-24,109.408,110.4105,108.5329,109.4589,107.0763,10291927
2023-05-25,109.4424,110.4251,108.5561,109.4615,107.0824,10056330
2023-05-26,109.4884,110.4616,108.5742,109.4694,107.0936,9825302
2023-05-29,109.5469,110.5273,108.5813,109.4828,107.1102,9602211
2023-05-30,109.6178,110.6029,108.5966,109.502,107.1325,9390329
2023-05-31,109.7003,110.6876,108.6207,109.5276,107.161,9192797
2023-06-01,109.7932,110.78,108.6537,109.5597,107.1959,9012581
2023-06-02,109.894,110.8777,108.6961,109.5986,107.2375,8852436
2023-06-05,110.0003,110.9781,108.748,109.6447,107.2862,8714872
2023-06-06,110.1087,111.0782,108.8096,109.6982,107.342,8602119
2023-06-07,110.2163,111.1748,108.8812,109.7594,107.4054,8516101
2023-06-08,110.3196,111.2646,108.9628,109.8284,107.4764,8458412
2023-06-09,110.416,111.345,109.0546,109.9054,107.5553,8430292
2023-06-12,110.5029,111.4137,109.1565,109.9906,107.6422,8432614
2023-06-13,110.5788,111.4692,109.2686,110.0841,107.7373,8465871
2023-06-14,110.6429,111.511,109.3908,110.1861,107.8406,8530168
2023-06-15,110.6955,111.5393,109.523,110.2966,107.9522,8625221
2023-06-16,110.7376,111.5557,109.6652,110.4156,108.0723,8750359
2023-06-19,110.7715,111.5624,109.8171,110.5432,108.2007,8904532
2023-06-20,110.8003,111.5629,109.9785,110.6794,108.3376,9086322
2023-06-21,110.8275,111.5611,110.1493,110.8242,108.4828,9293960
2023-06-22,110.8576,111.6822,110.21,110.9774,108.6364,9525348
2023-06-23,110.8951,111.8147,110.275,111.1391,108.7982,9778081
2023-06-26,110.9446,111.9985,110.3124,111.3091,108.9682,10049479
2023-06-27,111.0104,112.208,110.3501,111.4872,109.1461,10336618
2023-06-28,111.0963,112.4251,110.4082,111.6733,109.3319,10636365
