date,open,high,low,close,adjusted_close,volume
2023-01-03,51.8449,52.3109,50.2975,50.7169,49.449,6009351
2023-01-04,50.568,51.2135,50.1515,50.7591,49.4917,6034873
2023-01-05,50.6117,51.2571,50.1976,50.8054,49.5385,6078983
2023-01-06,50.659,51.3037,50.2486,50.8558,49.5893,6141115
2023-01-09,50.7107,51.3531,50.3048,50.9102,49.6439,6220465
2023-01-10,50.7675,51.4053,50.3672,50.9685,49.7025,6316003
2023-01-11,50.8303,51.4604,50.4366,51.0308,49.7648,6426482
2023-01-12,50.8999,51.5182,50.5137,51.0968,49.8308,6550460
2023-01-13,50.9773,51.5788,50.5994,51.1665,49.9004,6686310
2023-01-16,51.0631,51.6421,50.6942,51.2398,49.9735,6832247
2023-01-17,51.1576,51.708,50.7985,51.3165,50.05,6986347
2023-01-18,51.2609,51.7765,50.9123,51.3965,50.1297,7146571
2023-01-19,51.3728,51.8476,51.035,51.4797,50.2124,7310790
2023-01-20,51.4923,51.9211,51.1659,51.5658,50.2981,7476815
2023-01-23,51.6185,51.9971,51.3038,51.6548,50.3866,7642419
2023-01-24,51.7499,52.0789,51.4438,51.7464,50.4776,7805370
2023-01-25,51.8845,52.2003,51.5503,51.8405,50.5711,7963455
2023-01-26,52.0205,52.3424,51.6413,51.9369,50.6668,8114508
2023-01-27,52.1558,52.4926,51.7262,52.0354,50.7645,8256440
2023-01-30,52.2882,52.6398,51.8131,52.1357,50.864,8387264
2023-01-31,52.4157,52.7819,51.9019,52.2377,50.9652,8505118
2023-02-01,52.5367,52.9171,51.9925,52.3411,51.0677,8608289
2023-02-02,52.6498,53.0437,52.0846,52.4457,51.1715,8695237
2023-02-03,52.7539,53.1608,52.1784,52.5513,51.2762,8764613
2023-02-06,52.8485,53.2676,52.2734,52.6576,51.3816,8815276
2023-02-07,52.9338,53.3642,52.3698,52.7644,51.4875,8846306
2023-02-08,53.0102,53.4509,52.4672,52.8715,51.5938,8857019
2023-02-09,53.0787,53.5286,52.5655,52.9787,51.7,8846976
2023-02-10,53.1406,53.5987,52.6646,53.0856,51.8061,8815983
2023-02-13,53.1976,53.6627,52.7643,53.1921,51.9117,8764105
2023-02-14,53.2517,53.7692,52.8185,53.2979,52.0167,8691654
2023-02-15,53.3047,53.879,52.8674,53.4028,52.1207,8599193
2023-02-16,53.3585,53.9864,52.9182,53.5066,52.2237,8487529
2023-02-17,53.4148,54.0911,52.9728,53.6089,52.3253,8357701
2023-02-20,53.4752,54.1929,53.0325,53.7096,52.4253,8210970
2023-02-21,53.5405,54.2915,53.0984,53.8085,52.5236,8048803
2023-02-22,53.6116,54.3866,53.1712,53.9053,52.6198,7872857
2023-02-23,53.6886,54.4781,53.2511,53.9999,52.7138,7684956
2023-02-24,53.7712,54.5659,53.3377,54.0919,52.8054,7487075
2023-02-27,53.8587,54.6497,53.4304,54.1813,52.8944,7281309
2023-02-28,53.9502,54.7293,53.5281,54.2678,52.9805,7069853
2023-03-01,54.0443,54.8047,53.6294,54.3512,53.0637,6854974
2023-03-02,54.1396,54.8758,53.7329,54.4313,53.1437,6638984
2023-03-03,54.2346,54.9424,53.837,54.5081,53.2204,6424212
2023-03-06,54.3277,55.0046,53.9401,54.5813,53.2936,6212975
2023-03-07,54.4176,55.0621,54.0408,54.6508,53.3632,6007550
2023-03-08,54.5033,55.1151,54.1379,54.7164,53.4291,5810151
2023-03-09,54.5839,55.1634,54.2306,54.778,53.491,5622893
2023-03-10,54.659,55.2071,54.3183,54.8356,53.549,5447778
2023-03-13,54.7286,55.2462,54.4009,54.8889,53.6028,5286661
2023-03-14,54.7928,55.2807,54.4784,54.938,53.6525,5141233
2023-03-15,54.8522,55.3145,54.5477,54.9827,53.6979,5013001
2023-03-16,54.9076,55.37,54.589,55.023,53.739,4903265
2023-03-17,54.9596,55.4209,54.6271,55.0588,53.7757,4813110
2023-03-20,55.0094,55.4669,54.6631,55.09,53.808,4743385
2023-03-21,55.0575,55.508,54.6979,55.1167,53.8358,4694700
2023-03-22,55.1047,55.544,54.7321,55.1389,53.8592,4667416
2023-03-23,55.1511,55.5749,54.7662,55.1564,53.8782,4661638
2023-03-24,55.1969,55.6281,54.773,55.1695,53.8927,4677220
2023-03-27,55.2417,55.6848,54.7708,55.178,53.9027,4713765
2023-03-28,55.2847,55.7387,54.765,55.182,53.9084,4770626
2023-03-29,55.3248,55.7888,54.7558,55.1816,53.9098,4846922
2023-03-30,55.3606,55.8335,54.7431,55.1768,53.9069,4941543
2023-03-31,55.3905,55.8711,54.7273,55.1677,53.8998,5053167
2023-04-03,55.4129,55.8999,54.7085,55.1545,53.8886,5180274
2023-04-04,55.4259,55.918,54.6868,55.1371,53.8734,5321170
2023-04-05,55.4281,55.9238,54.6623,55.1158,53.8543,5474003
2023-04-06,55.418,55.9158,54.6353,55.0906,53.8315,5636787
2023-04-07,55.3947,55.8932,54.6058,55.0617,53.805,5807431
2023-04-10,55.3576,55.8554,54.574,55.0292,53.775,5983759
2023-04-11,55.3067,55.8022,54.5401,54.9933,53.7417,6163540
2023-04-12,55.2425,55.7341,54.5042,54.9542,53.7052,6344515
2023-04-13,55.1659,55.6523,54.4665,54.912,53.6657,6524427
2023-04-14,55.0784,55.5583,54.4271,54.8669,53.6234,6701045
2023-04-17,54.982,55.4541,54.3861,54.8191,53.5785,6872195
2023-04-18,54.8789,55.3419,54.3437,54.7689,53.5311,7035784
2023-04-19,54.7715,55.2244,54.3001,54.7163,53.4816,7189829
2023-04-20,54.6625,55.1042,54.2554,54.6618,53.4299,7332478
2023-04-21,54.5542,55.0354,54.1589,54.6053,53.3765,7462035
2023-04-24,54.449,54.9649,54.0655,54.5473,53.3216,7576980
2023-04-25,54.3489,54.8923,53.9778,54.4879,53.2652,7675988
2023-04-26,54.2555,54.8179,53.8974,54.4273,53.2077,7757944
2023-04-27,54.1701,54.7421,53.8252,54.3658,53.1494,7821959
2023-04-28,54.0932,54.6652,53.7619,54.3037,53.0903,7867378
2023-05-01,54.0251,54.5876,53.7075,54.2411,53.0309,7893790
2023-05-02,53.9654,54.5097,53.6617,54.1783,52.9712,7901029
2023-05-03,53.9135,54.4486,53.6082,54.1155,52.9116,7889183
2023-05-04,53.8684,54.4004,53.5499,54.053,52.8523,7858584
2023-05-05,53.8287,54.3525,53.4972,53.9911,52.7934,7809810
2023-05-08,53.7931,54.3051,53.4488,53.9299,52.7353,7743675
2023-05-09,53.7603,54.2582,53.4036,53.8697,52.6782,7661218
2023-05-10,53.7289,54.2119,53.3604,53.8107,52.6222,7563690
2023-05-11,53.6979,54.1664,53.3181,53.7532,52.5677,7452541
2023-05-12,53.6665,54.1219,53.2762,53.6974,52.5148,7329396
2023-05-15,53.6343,54.0783,53.2343,53.6434,52.4637,7196039
2023-05-16,53.6012,54.0457,53.1826,53.5915,52.4147,7054392
2023-05-17,53.5674,54.0205,53.1252,53.5419,52.3678,6906484
2023-05-18,53.5334,53.994,53.0712,53.4947,52.3235,6754431
2023-05-19,53.5001,53.9671,53.021,53.4503,52.2817,6600408
2023-05-22,53.4684,53.9406,52.9747,53.4086,52.2427,6446621
