date,open,high,low,close,adjusted_close,volume
2023-01-03,43.8827,44.2679,42.8251,43.1737,42.0944,3196096
2023-01-04,43.0685,43.5875,42.7253,43.2131,42.1342,3236865
2023-01-05,43.1167,43.6245,42.7785,43.2557,42.177,3286245
2023-01-06,43.167,43.6636,42.8346,43.3012,42.2228,3343614
2023-01-09,43.2198,43.7047,42.8941,43.3496,42.2714,3408245
2023-01-10,43.2756,43.7478,42.9572,43.4007,42.3227,3479314
2023-01-11,43.3349,43.7929,43.0244,43.4545,42.3765,3555910
2023-01-12,43.3983,43.8398,43.0965,43.5109,42.4328,3637045
2023-01-13,43.4666,43.8885,43.1738,43.5696,42.4915,3721668
2023-01-16,43.5401,43.939,43.2568,43.6305,42.5523,3808678
2023-01-17,43.619,43.9912,43.3456,43.6936,42.6152,3896938
2023-01-18,43.7034,44.045,43.4402,43.7585,42.68,3985286
2023-01-19,43.7929,44.1003,43.5401,43.8252,42.7464,4072554
2023-01-20,43.887,44.157,43.6446,43.8935,42.8144,4157579
2023-01-23,43.9848,44.2605,43.7097,43.9632,42.8838,4239220
2023-01-24,44.0849,44.3731,43.7692,44.0341,42.9544,4316370
2023-01-25,44.1859,44.4866,43.83,44.106,43.026,4387971
2023-01-26,44.2863,44.5991,43.8918,44.1788,43.0984,4453029
2023-01-27,44.3844,44.709,43.9545,44.2523,43.1715,4510623
2023-01-30,44.4785,44.8144,44.0182,44.3262,43.245,4559918
2023-01-31,44.5671,44.9138,44.0826,44.4003,43.3188,4600178
2023-02-01,44.6488,45.0056,44.1476,44.4745,43.3926,4630770
2023-02-02,44.7227,45.0888,44.2131,44.5486,43.4663,4651178
2023-02-03,44.7881,45.1627,44.279,44.6223,43.5396,4661006
2023-02-06,44.8447,45.2269,44.3451,44.6955,43.6125,4659982
2023-02-07,44.8928,45.2815,44.4113,44.768,43.6846,4647967
2023-02-08,44.9329,45.3271,44.4775,44.8395,43.7558,4624951
2023-02-09,44.966,45.3647,44.5435,44.9099,43.8259,4591056
2023-02-10,44.9934,45.3954,44.6092,44.9789,43.8947,4546538
2023-02-13,45.0166,45.4509,44.6447,45.0464,43.9621,4491777
2023-02-14,45.0374,45.5182,44.6645,45.1123,44.0278,4427280
2023-02-15,45.0574,45.5825,44.6845,45.1762,44.0917,4353668
2023-02-16,45.0782,45.6437,44.7065,45.2381,44.1535,4271676
2023-02-17,45.1015,45.7014,44.7318,45.2978,44.2132,4182138
2023-02-20,45.1283,45.7557,44.7616,45.3551,44.2706,4085981
2023-02-21,45.1596,45.8063,44.7969,45.4099,44.3255,3984213
2023-02-22,45.1958,45.8532,44.838,45.462,44.3778,3877910
2023-02-23,45.2371,45.8963,44.885,45.5113,44.4274,3768202
2023-02-24,45.2831,45.9354,44.9376,45.5575,44.474,3656262
2023-02-27,45.3332,45.9705,44.995,45.6008,44.5177,3543293
2023-02-28,45.3863,46.0016,45.0562,45.6408,44.5582,3430508
2023-03-01,45.4414,46.0286,45.12,45.6775,44.5955,3319121
2023-03-02,45.4969,46.0515,45.1848,45.7107,44.6294,3210328
2023-03-03,45.5515,46.0704,45.2493,45.7405,44.66,3105297
2023-03-06,45.6038,46.0852,45.3119,45.7668,44.6871,3005150
2023-03-07,45.6525,46.0959,45.3713,45.7894,44.7106,2910951
2023-03-08,45.6967,46.1027,45.4265,45.8083,44.7305,2823694
2023-03-09,45.7355,46.1055,45.4765,45.8234,44.7468,2744291
2023-03-10,45.7686,46.1152,45.511,45.8348,44.7594,2673558
2023-03-13,45.7957,46.1352,45.5265,45.8424,44.7682,2612210
2023-03-14,45.817,46.1514,45.5364,45.8462,44.7734,2560849
2023-03-15,45.8329,46.1634,45.5411,45.8461,44.7748,2519958
2023-03-16,45.844,46.173,45.5397,45.8423,44.7725,2489896
2023-03-17,45.8511,46.1914,45.5217,45.8347,44.7666,2470892
2023-03-20,45.8549,46.2059,45.5006,45.8233,44.7569,2463045
2023-03-21,45.8561,46.2172,45.4763,45.8082,44.7436,2466320
2023-03-22,45.8553,46.2258,45.4491,45.7894,44.7268,2480552
2023-03-23,45.8529,46.232,45.419,45.7671,44.7064,2505445
2023-03-24,45.849,46.2358,45.3862,45.7412,44.6826,2540579
2023-03-27,45.8434,46.237,45.3509,45.7119,44.6555,2585413
2023-03-28,45.8358,46.2352,45.3131,45.6793,44.625,2639292
2023-03-29,45.8254,46.2295,45.2731,45.6434,44.5914,2701458
2023-03-30,45.8113,46.219,45.2309,45.6043,44.5547,2771055
2023-03-31,45.7924,46.2026,45.1868,45.5623,44.5151,2847145
2023-04-03,45.7675,46.179,45.1409,45.5174,44.4727,2928715
2023-04-04,45.7354,46.147,45.0933,45.4698,44.4276,3014691
2023-04-05,45.6951,46.1056,45.0441,45.4195,44.38,3103956
2023-04-06,45.6457,46.0539,44.9936,45.3668,44.3299,3195354
2023-04-07,45.5866,45.9913,44.9418,45.3118,44.2777,3287716
2023-04-10,45.5176,45.9176,44.8888,45.2548,44.2234,3379863
2023-04-11,45.4388,45.8331,44.8349,45.1957,44.1671,3470632
2023-04-12,45.3509,45.7383,44.7802,45.1349,44.1091,3558881
2023-04-13,45.2548,45.6344,44.7247,45.0726,44.0496,3643508
2023-04-14,45.1518,45.5227,44.6687,45.0088,43.9887,3723463
2023-04-17,45.0437,45.405,44.6122,44.9438,43.9267,3797762
2023-04-18,44.9324,45.2834,44.5553,44.8778,43.8636,3865498
2023-04-19,44.8199,45.16,44.4982,44.811,43.7997,3925854
2023-04-20,44.7084,45.0724,44.4061,44.7436,43.7352,3978111
2023-04-21,44.5997,44.9929,44.3084,44.6757,43.6703,4021656
2023-04-24,44.4959,44.9128,44.2158,44.6076,43.6052,4055995
2023-04-25,44.3984,44.8324,44.1297,44.5395,43.5401,4080750
2023-04-26,44.3084,44.7521,44.0513,44.4716,43.4751,4095673
2023-04-27,44.2269,44.672,43.9813,44.404,43.4105,4100643
2023-04-28,44.1542,44.6135,43.9008,44.337,43.3464,4095669
2023-05-01,44.0903,44.5589,43.8263,44.2708,43.283,4080889
2023-05-02,44.0348,44.5049,43.7604,44.2055,43.2206,4056570
2023-05-03,43.9869,44.4518,43.7023,44.1413,43.1593,4023104
2023-05-04,43.9457,44.3996,43.6511,44.0785,43.0993,3981000
2023-05-05,43.9098,44.3485,43.6058,44.0172,43.0408,3930884
2023-05-08,43.8781,44.2984,43.565,43.9576,42.9838,3873483
2023-05-09,43.8491,44.2495,43.5277,43.8997,42.9287,3809621
2023-05-10,43.8217,44.2019,43.4925,43.8439,42.8756,3740210
2023-05-11,43.7949,44.1603,43.4541,43.7903,42.8245,3666233
2023-05-12,43.7678,44.1401,43.3967,43.7389,42.7757,3588736
2023-05-15,43.74,44.1181,43.3426,43.69,42.7293,3508814
2023-05-16,43.7113,44.0943,43.2919,43.6437,42.6853,3427595
2023-05-17,43.6818,44.0687,43.2448,43.6001,42.6441,3346229
2023-05-18,43.6518,44.0415,43.2015,43.5593,42.6055,3265872
2023-05-19,43.6219,44.0134,43.162,43.5214,42.5698,3187672
2023-05-22,43.5929,43.9852,43.1265,43.4865,42.5371,3112752
2023-05-23,43.5657,43.9576,43.095,43.4547,42.5074,3042201
2023-05-24,43.541,43.9315,43.0677,43.4261,42.4808,2977054
2023-05-25,43.5196,43.9077,43.0446,43.4007,42.4574,2918286
2023-05-26,43.5022,43.8868,43.0257,43.3786,42.4372,2866791
2023-05-29,43.4891,43.8693,43.0111,43.3599,42.4202,2823380
2023-05-30,43.4804,43.8552,43.0007,43.3445,42.4066,2788763
2023-05-31,43.476,43.8445,42.9946,43.3325,42.3962,2763545
2023-06-01,43.4754,43.8369,42.9926,43.324,42.3892,2748214
2023-06-02,43.4781,43.8316,42.9948,43.3188,42.3856,2743140
2023-06-05,43.4832,43.828,43.001,43.3171,42.3853,2748564
2023-06-06,43.4896,43.825,43.0113,43.3187,42.3883,2764600
2023-06-07,43.4962,43.8217,43.0254,43.3237,42.3945,2791228
2023-06-08,43.5021,43.8171,43.0434,43.332,42.404,2828301
2023-06-09,43.5063,43.8103,43.0649,43.3435,42.4167,2875538
2023-06-12,43.508,43.8006,43.09,43.3583,42.4325,2932534
2023-06-13,43.5068,43.7878,43.1184,43.3762,42.4514,2998761
2023-06-14,43.5024,43.7716,43.15,43.3971,42.4733,3073577
2023-06-15,43.4951,43.7598,43.1778,43.4209,42.498,3156229
2023-06-16,43.4855,43.7619,43.1935,43.4476,42.5255,3245867
2023-06-19,43.4742,43.7652,43.2092,43.4771,42.5558,3341552
2023-06-20,43.4627,43.8089,43.1872,43.5091,42.5885,3442266
