date,open,high,low,close,adjusted_close,volume
2023-01-03,120.9779,122.2595,120.1853,121.3949,118.3601,4897294
2023-01-04,121.4404,122.4356,120.6735,121.6008,118.5647,5017924
2023-01-05,121.704,122.6132,120.965,121.8092,118.7718,5141375
2023-01-06,121.96,122.7921,121.2497,122.0196,118.9808,5266109
2023-01-09,122.2085,122.972,121.5273,122.2314,119.1913,5390561
2023-01-10,122.4502,123.2111,121.7442,122.4442,119.4027,5513161
2023-01-11,122.6863,123.4819,121.9256,122.6573,119.6145,5632349
2023-01-12,122.9185,123.7484,122.1071,122.8703,119.8261,5746600
2023-01-13,123.1483,124.0118,122.2885,123.0825,120.037,5854436
2023-01-16,123.3772,124.2734,122.4696,123.2936,120.2467,5954452
2023-01-17,123.6061,124.5339,122.6499,123.5028,120.4547,6045327
2023-01-18,123.8357,124.7936,122.8293,123.7096,120.6605,6125844
2023-01-19,124.0658,125.0522,123.0073,123.9136,120.8634,6194905
2023-01-20,124.2955,125.3084,123.1837,124.1142,121.063,6251543
2023-01-23,124.5231,125.5604,123.3582,124.3109,121.2589,6294935
2023-01-24,124.7463,125.8057,123.5305,124.5032,121.4504,6324414
2023-01-25,124.9623,126.0411,123.7002,124.6906,121.6372,6339474
2023-01-26,125.1677,126.2633,123.8669,124.8725,121.8186,6339781
2023-01-27,125.3591,126.4685,124.0304,125.0485,121.9944,6325172
2023-01-30,125.5333,126.6534,124.1903,125.2183,122.164,6295664
2023-01-31,125.6871,126.8148,124.3462,125.3812,122.327,6251446
2023-02-01,125.8183,126.9503,124.4979,125.537,122.4829,6192886
2023-02-02,125.9252,127.0582,124.6448,125.6852,122.6315,6120517
2023-02-03,126.0072,127.1377,124.7868,125.8254,122.7724,6035041
2023-02-06,126.0646,127.1894,124.9233,125.9572,122.9051,5937312
2023-02-07,126.0989,127.2148,125.054,126.0805,123.0294,5828331
2023-02-08,126.1128,127.2992,125.0973,126.1947,123.1449,5709233
2023-02-09,126.1095,127.39,125.108,126.2998,123.2514,5581272
2023-02-10,126.0932,127.4684,125.1083,126.3953,123.3487,5445806
2023-02-13,126.0688,127.5345,125.1028,126.4811,123.4365,5304285
2023-02-14,126.0409,127.588,125.0962,126.557,123.5146,5158225
2023-02-15,126.0145,127.6291,125.0931,126.6228,123.5828,5009199
2023-02-16,125.9939,127.6578,125.0976,126.6783,123.6411,4858813
2023-02-17,125.983,127.6743,125.1133,126.7235,123.6893,4708686
2023-02-20,125.9845,127.6786,125.1429,126.7582,123.7272,4560432
2023-02-21,126.0004,127.6711,125.1879,126.7825,123.755,4415643
2023-02-22,126.0312,127.6519,125.2488,126.7963,123.7725,4275864
2023-02-23,126.0764,127.6213,125.3246,126.7995,123.7797,4142580
2023-02-24,126.1341,127.5798,125.4134,126.7923,123.7767,4017195
2023-02-27,126.2015,127.5432,125.4977,126.7747,123.7636,3901016
2023-02-28,126.275,127.5496,125.5392,126.7468,123.7404,3795238
2023-03-01,126.3503,127.5455,125.5827,126.7088,123.7073,3700928
2023-03-02,126.4225,127.5306,125.6237,126.6607,123.6645,3619013
2023-03-03,126.4871,127.5048,125.658,126.6028,123.612,3550271
2023-03-06,126.5395,127.4724,125.6771,126.5353,123.5502,3495319
2023-03-07,126.5757,127.5389,125.5733,126.4585,123.4792,3454607
2023-03-08,126.5926,127.5841,125.462,126.3726,123.3994,3428413
2023-03-09,126.5876,127.6055,125.3438,126.2779,123.3109,3416840
2023-03-10,126.5596,127.6014,125.2192,126.1748,123.2143,3419816
2023-03-13,126.5082,127.5715,125.0888,126.0635,123.1096,3437092
2023-03-14,126.4341,127.5161,124.953,125.9445,122.9975,3468249
2023-03-15,126.3389,127.4367,124.8123,125.8181,122.8781,3512704
2023-03-16,126.2248,127.3354,124.6675,125.6849,122.752,3569713
2023-03-17,126.0946,127.215,124.5188,125.5451,122.6195,3638384
2023-03-20,125.9514,127.0784,124.367,125.3993,122.4811,3717691
2023-03-21,125.7982,126.9287,124.2125,125.2479,122.3373,3806479
2023-03-22,125.6379,126.7686,124.0557,125.0915,122.1885,3903487
2023-03-23,125.4728,126.6007,123.8973,124.9305,122.0352,4007359
2023-03-24,125.3047,126.4266,123.7377,124.7654,121.8779,4116661
2023-03-27,125.1347,126.2475,123.5774,124.5968,121.7172,4229903
2023-03-28,124.9632,126.064,123.4169,124.4252,121.5536,4345554
2023-03-29,124.7897,125.8756,123.2565,124.2512,121.3875,4462059
2023-03-30,124.6133,125.6815,123.0967,124.0752,121.2196,4577866
2023-03-31,124.4325,125.4803,122.938,123.8979,121.0503,4691438
2023-04-03,124.2454,125.2705,122.7808,123.7198,120.8803,4801275
2023-04-04,124.0504,125.0504,122.6254,123.5415,120.71,4905934
2023-04-05,123.8457,124.8185,122.4721,123.3636,120.5401,5004045
2023-04-06,123.6301,124.5738,122.3215,123.1865,120.371,5094328
2023-04-07,123.403,124.3159,122.1737,123.0109,120.2034,5175611
2023-04-10,123.1645,124.0452,122.0292,122.8373,120.0376,5246842
2023-04-11,122.9156,123.763,121.8881,122.6662,119.8744,5307104
2023-04-12,122.6583,123.4716,121.7509,122.4982,119.7142,5355623
2023-04-13,122.3954,123.174,121.6178,122.3338,119.5574,5391785
2023-04-14,122.1306,122.9176,121.4463,122.1735,119.4047,5415135
2023-04-17,121.8682,122.7723,121.175,122.0179,119.2565,5425387
2023-04-18,121.613,122.6538,120.8909,121.8673,119.1132,5422428
2023-04-19,121.3699,122.5404,120.6194,121.7223,118.9754,5406318
2023-04-20,121.1439,122.4323,120.3657,121.5833,118.8434,5377290
2023-04-21,120.9394,122.3296,120.1343,121.4508,118.7177,5335745
2023-04-24,120.7605,122.2325,119.9296,121.3251,118.5988,5282249
2023-04-25,120.6101,122.1411,119.7546,121.2067,118.4869,5217528
2023-04-26,120.4904,122.0557,119.6118,121.0958,118.3824,5142453
2023-04-27,120.4023,121.9763,119.5021,120.993,118.2857,5058034
2023-04-28,120.3455,121.9031,119.4254,120.8984,118.1971,4965406
2023-05-01,120.3187,121.8362,119.3806,120.8124,118.1169,4865815
2023-05-02,120.3192,121.7757,119.3652,120.7352,118.0453,4760602
2023-05-03,120.3437,121.7217,119.376,120.6671,117.9826,4651186
2023-05-04,120.388,121.6744,119.4089,120.6082,117.9289,4539046
2023-05-05,120.4476,121.6337,119.4596,120.5588,117.8845,4425706
2023-05-08,120.5178,121.5999,119.5235,120.519,117.8494,4312710
2023-05-09,120.5938,121.6786,119.4919,120.489,117.8239,4201607
2023-05-10,120.6715,121.7573,119.4715,120.4688,117.808,4093932
2023-05-11,120.7472,121.831,119.4637,120.4584,117.8017,3991182
2023-05-12,120.8179,121.8968,119.4684,120.458,117.8052,3894804
2023-05-15,120.8819,121.9527,119.4857,120.4675,117.8183,3806170
2023-05-16,120.938,121.9979,119.5154,120.4869,117.8411,3726564
2023-05-17,120.9864,122.0326,119.5574,120.5161,117.8735,3657167
2023-05-18,121.0281,122.0578,119.6114,120.555,117.9154,3599036
2023-05-19,121.0646,122.0753,119.6773,120.6035,117.9668,3553098
2023-05-22,121.0984,122.0876,119.7547,120.6615,118.0274,3520132
2023-05-23,121.1321,122.0977,119.8434,120.7288,118.097,3500762
2023-05-24,121.1685,122.1085,119.9429,120.8052,118.1756,3495450
2023-05-25,121.2103,122.123,120.0528,120.8903,118.2628,3504487
2023-05-26,121.2598,122.1437,120.1727,120.9841,118.3584,3527990
2023-05-29,121.319,122.1728,120.3021,121.0861,118.4621,3565902
2023-05-30,121.3889,122.2117,120.4403,121.1961,118.5736,3617989
2023-05-31,121.47,122.261,120.5869,121.3138,118.6925,3683845
2023-06-01,121.562,122.3207,120.7413,121.4387,118.8186,3762896
2023-06-02,121.6637,122.3974,120.896,121.5705,118.9515,3854406
2023-06-05,121.7735,122.5411,121.003,121.7087,119.0907,3957485
