date,open,high,low,close,adjusted_close,volume
2023-01-03,15.0236,15.3086,14.94,15.2165,14.8361,16042108
2023-01-04,15.2494,15.36,15.1607,15.2635,14.8824,16423409
2023-01-05,15.3036,15.4113,15.2107,15.3103,14.9286,16796281
2023-01-06,15.3558,15.4624,15.259,15.3571,14.9746,17156079
2023-01-09,15.4063,15.5159,15.3028,15.4036,15.0205,17498288
2023-01-10,15.4549,15.5687,15.3452,15.4499,15.0661,17818577
2023-01-11,15.502,15.6198,15.3874,15.4958,15.1114,18112857
2023-01-12,15.5477,15.6694,15.4294,15.5413,15.1563,18377329
2023-01-13,15.5924,15.7177,15.4712,15.5864,15.2007,18608530
2023-01-16,15.6362,15.7648,15.5126,15.6309,15.2446,18803378
2023-01-17,15.6794,15.8111,15.5537,15.6748,15.288,18959210
2023-01-18,15.7222,15.8566,15.5944,15.7181,15.3307,19073816
2023-01-19,15.7644,15.9013,15.6347,15.7606,15.3727,19145466
2023-01-20,15.8063,15.9453,15.6746,15.8024,15.4139,19172931
2023-01-23,15.8476,15.9884,15.7139,15.8434,15.4544,19155500
2023-01-24,15.8881,16.0303,15.7527,15.8835,15.494,19092991
2023-01-25,15.9276,16.0707,15.791,15.9226,15.5327,18985749
2023-01-26,15.9658,16.1094,15.8286,15.9608,15.5704,18834649
2023-01-27,16.0022,16.146,15.8656,15.9979,15.6072,18641083
2023-01-30,16.0365,16.1801,15.9019,16.034,15.6429,18406940
2023-01-31,16.0684,16.2119,15.9369,16.069,15.6775,18134590
2023-02-01,16.0978,16.2447,15.9672,16.1028,15.711,17826855
2023-02-02,16.1243,16.2759,15.9951,16.1354,15.7434,17486968
2023-02-03,16.148,16.3056,16.0205,16.1669,15.7746,17118544
2023-02-06,16.1689,16.3336,16.0435,16.1971,15.8046,16725529
2023-02-07,16.1872,16.3601,16.0643,16.2261,15.8334,16312158
2023-02-08,16.2034,16.3849,16.0831,16.2537,15.8609,15882899
2023-02-09,16.2177,16.4082,16.1004,16.2801,15.8872,15442402
2023-02-10,16.2308,16.4299,16.1167,16.3052,15.9122,14995444
2023-02-13,16.2432,16.45,16.1325,16.329,15.936,14546867
2023-02-14,16.2555,16.4686,16.1484,16.3515,15.9584,14101524
2023-02-15,16.2683,16.4858,16.1649,16.3727,15.9796,13664217
2023-02-16,16.2821,16.5015,16.1826,16.3926,15.9995,13239643
2023-02-17,16.2973,16.5157,16.2017,16.4111,16.0182,12832332
2023-02-20,16.3143,16.5287,16.2227,16.4284,16.0356,12446598
2023-02-21,16.3333,16.5459,16.2406,16.4445,16.0518,12086485
2023-02-22,16.3542,16.5653,16.2573,16.4592,16.0667,11755714
2023-02-23,16.377,16.5833,16.2759,16.4728,16.0805,11457648
2023-02-24,16.4013,16.6001,16.2961,16.4852,16.0931,11195243
2023-02-27,16.4268,16.6155,16.3176,16.4964,16.1045,10971018
2023-02-28,16.4529,16.6297,16.3398,16.5064,16.1149,10787023
2023-03-01,16.479,16.6426,16.3622,16.5154,16.1242,10644814
2023-03-02,16.5045,16.6542,16.3842,16.5233,16.1325,10545441
2023-03-03,16.5287,16.6645,16.4052,16.5303,16.1398,10489429
2023-03-06,16.5511,16.6885,16.4099,16.5362,16.1461,10476777
2023-03-07,16.5711,16.7114,16.4124,16.5413,16.1516,10506959
2023-03-08,16.5883,16.7311,16.4144,16.5455,16.1563,10578929
2023-03-09,16.6024,16.7474,16.416,16.549,16.1601,10691142
2023-03-10,16.6133,16.7601,16.4171,16.5517,16.1633,10841564
2023-03-13,16.6209,16.7691,16.418,16.5537,16.1658,11027709
2023-03-14,16.6255,16.7745,16.4186,16.5552,16.1678,11246663
2023-03-15,16.6272,16.7768,16.4191,16.5561,16.1692,11495124
2023-03-16,16.6265,16.7761,16.4194,16.5565,16.1702,11769445
2023-03-17,16.6238,16.773,16.4198,16.5566,16.1707,12065678
2023-03-20,16.6195,16.768,16.4202,16.5563,16.171,12379625
2023-03-21,16.6142,16.7615,16.4208,16.5557,16.171,12706892
2023-03-22,16.6084,16.754,16.4215,16.555,16.1708,13042939
2023-03-23,16.6024,16.746,16.4224,16.5542,16.1705,13383145
2023-03-24,16.5965,16.7378,16.4237,16.5534,16.1703,13722857
2023-03-27,16.5911,16.7297,16.4253,16.5526,16.17,14057456
2023-03-28,16.5862,16.7218,16.4274,16.5519,16.1699,14382411
2023-03-29,16.5818,16.7142,16.4299,16.5514,16.1699,14693334
2023-03-30,16.578,16.7068,16.4329,16.5512,16.1703,14986041
2023-03-31,16.5746,16.6995,16.4365,16.5513,16.1709,15256595
2023-04-03,16.5713,16.6923,16.4407,16.5519,16.172,15501366
2023-04-04,16.5681,16.6849,16.4456,16.553,16.1736,15717066
2023-04-05,16.5646,16.6771,16.4512,16.5546,16.1757,15900797
2023-04-06,16.5608,16.6688,16.4575,16.5569,16.1785,16050086
2023-04-07,16.5565,16.6634,16.4613,16.5598,16.1819,16162913
2023-04-10,16.5518,16.6633,16.4602,16.5636,16.1861,16237739
2023-04-11,16.5468,16.6724,16.451,16.5682,16.1911,16273525
2023-04-12,16.5416,16.6824,16.4418,16.5737,16.197,16269741
2023-04-13,16.5367,16.6933,16.4328,16.5801,16.2038,16226382
