date,open,high,low,close,adjusted_close,volume
2023-01-03,268.806,270.689,265.0796,266.799,260.129,61900652
2023-01-04,267.4217,269.2252,264.8991,266.5529,259.8976,60565604
2023-01-05,266.9627,268.6919,264.7151,266.3021,259.6616,59184595
2023-01-06,266.4731,268.127,264.5284,266.0475,259.4219,57774486
2023-01-09,265.9625,267.5759,264.3072,265.7905,259.1798,56352386
2023-01-10,265.4418,267.2152,263.894,265.5322,258.9364,54935441
2023-01-11,264.9229,267.0266,263.3125,265.2739,258.693,53540620
2023-01-12,264.4179,266.8377,262.7463,265.0166,258.4506,52184512
2023-01-13,263.9384,266.649,262.2074,264.7617,258.2104,50883116
2023-01-16,263.4952,266.4614,261.7071,264.5103,257.9737,49651652
2023-01-17,263.0974,266.2753,261.2548,264.2636,257.7416,48504368
2023-01-18,262.7521,266.0917,260.858,264.0229,257.5153,47454371
2023-01-19,262.464,265.911,260.5218,263.7893,257.2959,46513467
2023-01-20,262.2354,265.7342,260.2488,263.5639,257.0845,45692014
2023-01-23,262.0659,265.562,260.039,263.348,256.8823,44998801
2023-01-24,261.9526,265.395,259.8898,263.1427,256.6905,44440939
2023-01-25,261.8907,265.2343,259.7967,262.949,256.5099,44023776
2023-01-26,261.8735,265.0804,259.7533,262.768,256.3418,43750838
2023-01-27,261.893,264.9343,259.7519,262.6007,256.187,43623783
2023-01-30,261.9406,264.7968,259.7841,262.4482,256.0466,43642387
2023-01-31,262.0077,264.6687,259.8415,262.3114,255.9215,43804550
2023-02-01,262.086,264.5509,259.916,262.1912,255.8127,44106325
2023-02-02,262.1685,264.525,259.9212,262.0885,255.7208,44541971
2023-02-03,262.2493,264.5971,259.8462,262.0041,255.6469,45104024
2023-02-06,262.3246,264.6572,259.796,261.9387,255.5915,45783400
2023-02-07,262.3923,264.7033,259.7711,261.8932,255.5555,46569503
2023-02-08,262.4522,264.7355,259.7722,261.8681,255.5394,47450368
2023-02-09,262.5061,264.7558,259.7995,261.8641,255.5438,48412806
2023-02-10,262.5573,264.7677,259.8533,261.8817,255.5693,49442574
2023-02-13,262.6102,264.7761,259.9339,261.9213,255.6164,50524557
2023-02-14,262.6701,264.7867,260.0413,261.9835,255.6855,51642954
2023-02-15,262.7425,264.8053,260.1755,262.0685,255.7768,52781483
2023-02-16,262.8326,264.8378,260.3364,262.1766,255.8908,53923582
2023-02-17,262.945,264.8892,260.5239,262.3082,256.0275,55052622
2023-02-20,263.0832,264.9634,260.7375,262.4632,256.1873,56152114
2023-02-21,263.2491,265.063,260.9769,262.6419,256.3701,57205917
2023-02-22,263.4433,265.1891,261.2417,262.8442,256.576,58198445
2023-02-23,263.6646,265.3409,261.5313,263.0701,256.8049,59114861
2023-02-24,263.91,265.5162,261.8451,263.3194,257.0568,59941267
2023-02-27,264.1757,265.81,262.0918,263.5921,257.3314,60664877
2023-02-28,264.4563,266.1641,262.32,263.8878,257.6285,61274184
2023-03-01,264.7462,266.5266,262.5715,264.2062,257.9478,61759106
2023-03-02,265.0396,266.8913,262.8465,264.5469,258.2889,62111110
2023-03-03,265.3312,267.252,263.1451,264.9095,258.6514,62323331
2023-03-06,265.6163,267.6038,263.4672,265.2934,259.0348,62390651
2023-03-07,265.8921,267.9429,263.8128,265.6982,259.4385,62309777
2023-03-08,266.1569,268.2674,264.1817,266.1231,259.8619,62079279
2023-03-09,266.4115,268.7346,264.4188,266.5674,260.3043,61699616
2023-03-10,266.6584,269.2503,264.619,267.0305,260.765,61173132
2023-03-13,266.9023,269.7791,264.8208,267.5114,261.2432,60504035
2023-03-14,267.1496,270.3197,265.0309,268.0094,261.7381,59698346
2023-03-15,267.4082,270.8709,265.2574,268.5234,262.2487,58763832
2023-03-16,267.6869,271.4315,265.5095,269.0527,262.7742,57709913
2023-03-17,267.9951,272.0001,265.7966,269.5961,263.3136,56547547
2023-03-20,268.3422,272.5755,266.128,270.1527,263.8658,55289104
2023-03-21,268.7364,273.1566,266.5123,270.7213,264.4298,53948213
2023-03-22,269.185,273.7419,266.9566,271.3008,265.0046,52539601
2023-03-23,269.6931,274.3304,267.4662,271.8901,265.5889,51078910
2023-03-24,270.2639,274.9209,268.0439,272.488,266.1817,49582512
2023-03-27,270.8977,275.5122,268.6902,273.0933,266.7818,48067308
