date,open,high,low,close,adjusted_close,volume
2023-01-03,67.2226,69.0576,66.7764,68.5629,66.8489,7001551
2023-01-04,68.8259,69.3392,68.19,68.6611,66.9469,7138606
2023-01-05,68.949,69.4793,68.27,68.7565,67.0422,7265809
2023-01-06,69.059,69.6052,68.3479,68.8488,67.1346,7381572
2023-01-09,69.1561,69.717,68.4234,68.9378,67.2238,7484435
2023-01-10,69.2411,69.8155,68.4965,69.0233,67.3095,7573086
2023-01-11,69.3151,69.9016,68.5671,69.105,67.3915,7646375
2023-01-12,69.3796,69.9768,68.635,69.1828,67.4697,7703331
2023-01-13,69.4362,70.0425,68.7,69.2563,67.5437,7743168
2023-01-16,69.4864,70.1001,68.7621,69.3254,67.6135,7765305
2023-01-17,69.5316,70.1511,68.8211,69.3899,67.6788,7769362
2023-01-18,69.5728,70.1964,68.8769,69.4497,67.7394,7755174
2023-01-19,69.6108,70.2369,68.9294,69.5045,67.7953,7722788
2023-01-20,69.6459,70.2727,68.9784,69.5542,67.8461,7672464
2023-01-23,69.6782,70.3038,69.0239,69.5988,67.892,7604673
2023-01-24,69.7071,70.3298,69.0656,69.638,67.9326,7520092
2023-01-26,69.7317,70.3499,69.1035,69.6718,67.9679,7419592
2023-01-27,69.751,70.363,69.1375,69.7001,67.9979,7304231
2023-01-30,69.7639,70.3679,69.1674,69.7228,68.0224,7175243
2023-01-31,69.769,70.3634,69.1932,69.7399,68.0414,7034019
2023-02-01,69.7653,70.3487,69.2147,69.7513,68.0549,6882091
2023-02-02,69.7519,70.3279,69.2267,69.757,68.0629,6721116
2023-02-03,69.7283,70.3143,69.2158,69.757,68.0653,6552854
2023-02-06,69.6944,70.2938,69.1958,69.7514,68.0622,6379147
2023-02-07,69.6508,70.2667,69.167,69.7401,68.0536,6201898
2023-02-08,69.5981,70.233,69.1301,69.7233,68.0395,6023044
2023-02-09,69.538,70.1929,69.0863,69.7009,68.02,5844539
2023-02-10,69.4721,70.1468,69.0374,69.673,67.9952,5668325
2023-02-13,69.4026,70.0949,68.9853,69.6398,67.9651,5496310
2023-02-14,69.3318,70.0374,68.9322,69.6014,67.93,5330346
2023-02-15,69.2619,69.9757,68.8791,69.5578,67.8899,5172207
2023-02-16,69.1953,69.9458,68.7956,69.5093,67.8449,5023564
2023-02-20,69.1339,69.9109,68.7174,69.456,67.7952,4885971
2023-02-21,69.0793,69.871,68.6462,69.398,67.741,4760839
2023-02-22,69.0325,69.8261,68.5832,69.3356,67.6824,4649427
2023-02-23,68.994,69.7763,68.5291,69.269,67.6197,4552821
2023-02-24,68.9635,69.7217,68.4837,69.1983,67.5531,4471923
2023-02-27,68.9404,69.6622,68.4464,69.1238,67.4827,4407441
2023-02-28,68.9232,69.5982,68.4159,69.0458,67.4089,4359881
