date,open,high,low,close,adjusted_close,volume
2025-05-20,22.1052,22.8131,21.9387,22.6278,22.0621,9894134
2025-05-21,22.7439,22.9342,22.4832,22.6576,22.0946,10025298
2025-05-22,22.7777,22.9718,22.508,22.6859,22.1258,10136621
2025-05-23,22.8061,23.0036,22.5318,22.7128,22.1555,10226704
2025-05-26,22.8293,23.0296,22.5545,22.7381,22.1838,10294396
2025-05-27,22.8477,23.0503,22.5761,22.7618,22.2104,10338803
2025-05-28,22.862,23.0662,22.5966,22.7839,22.2355,10359302
2025-05-29,22.8726,23.0779,22.6159,22.8043,22.259,10355550
2025-05-30,22.8802,23.0861,22.634,22.823,22.2808,10327486
2025-06-02,22.8855,23.0914,22.651,22.8399,22.3009,10275333
2025-06-03,22.8892,23.0944,22.6666,22.8551,22.3192,10199595
2025-06-04,22.8916,23.0956,22.681,22.8684,22.3358,10101051
2025-06-05,22.8933,23.0955,22.6941,22.88,22.3506,9980749
2025-06-06,22.8944,23.0943,22.7058,22.8897,22.3636,9839986
2025-06-09,22.895,23.0946,22.7138,22.8975,22.3749,9680300
2025-06-10,22.8951,23.0973,22.717,22.9035,22.3843,9503447
2025-06-11,22.8946,23.0977,22.7199,22.9077,22.3919,9311383
2025-06-12,22.893,23.0958,22.7222,22.9101,22.3978,9106235
2025-06-13,22.8901,23.0917,22.7236,22.9106,22.4019,8890281
2025-06-16,22.8856,23.0855,22.7237,22.9094,22.4042,8665919
2025-06-17,22.879,23.0771,22.722,22.9063,22.4048,8435640
2025-06-18,22.8701,23.0667,22.7184,22.9016,22.4037,8201994
2025-06-19,22.8588,23.0544,22.7125,22.8952,22.401,7967565
2025-06-20,22.845,23.0403,22.7043,22.8871,22.3966,7734934
2025-06-23,22.8287,23.0244,22.6937,22.8774,22.3907,7506651
2025-06-24,22.8103,23.0069,22.6811,22.8661,22.3832,7285204
2025-06-25,22.7901,22.9932,22.6619,22.8534,22.3743,7072987
2025-06-26,22.7687,22.9851,22.6349,22.8392,22.364,6872273
2025-06-27,22.7467,22.9756,22.6074,22.8236,22.3523,6685187
