date,open,high,low,close,adjusted_close,volume
2023-01-03,48.2811,49.8164,47.8856,49.3768,48.1424,4295362
2023-01-04,49.669,50.1141,48.9792,49.3863,48.1536,4311842
2023-01-05,49.672,50.1186,48.9834,49.392,48.161,4318282
2023-01-06,49.6619,50.1088,48.9848,49.3938,48.1646,4314593
2023-01-09,49.6398,50.0857,48.9835,49.3917,48.1645,4300802
2023-01-10,49.6069,50.0504,48.9795,49.3857,48.1605,4277055
2023-01-11,49.5649,50.0047,48.9727,49.3757,48.1527,4243614
2023-01-12,49.5155,49.9505,48.9631,49.3619,48.1412,4200854
2023-01-13,49.4607,49.8895,48.9507,49.3443,48.1258,4149258
2023-01-16,49.4021,49.8237,48.9355,49.3228,48.1068,4089410
2023-01-17,49.3415,49.7549,48.9175,49.2976,48.084,4021991
2023-01-18,49.2803,49.6845,48.8968,49.2686,48.0577,3947768
2023-01-19,49.2195,49.6304,48.8569,49.236,48.0278,3867586
2023-01-20,49.16,49.5836,48.8073,49.1999,47.9945,3782358
2023-01-23,49.1022,49.5326,48.7601,49.1603,47.9577,3693053
2023-01-24,49.046,49.4777,48.715,49.1174,47.9178,3600681
2023-01-25,48.9912,49.4189,48.6718,49.0712,47.8746,3506290
2023-01-26,48.9372,49.3567,48.6298,49.022,47.8285,3410943
2023-01-27,48.8833,49.2911,48.5882,48.9698,47.7794,3315711
2023-01-30,48.8288,49.2225,48.5461,48.9148,47.7276,3221659
2023-01-31,48.7727,49.1512,48.5026,48.8571,47.6732,3129831
2023-02-01,48.7144,49.102,48.4342,48.7969,47.6163,3041240
2023-02-02,48.6534,49.0523,48.3614,48.7344,47.5572,2956854
2023-02-03,48.5894,49.0002,48.2859,48.6698,47.496,2877585
2023-02-06,48.5224,48.9457,48.2077,48.6031,47.4329,2804279
2023-02-07,48.4527,48.889,48.1273,48.5348,47.368,2737703
2023-02-08,48.3809,48.8302,48.0453,48.4648,47.3016,2678539
2023-02-09,48.308,48.7694,47.9628,48.3935,47.2338,2627372
2023-02-10,48.2348,48.7066,47.8807,48.321,47.1649,2584689
2023-02-13,48.1627,48.6421,47.8004,48.2476,47.0951,2550866
2023-02-14,48.0927,48.5759,47.7231,48.1734,47.0246,2526171
2023-02-15,48.0262,48.5082,47.65,48.0987,46.9535,2510753
2023-02-16,47.9639,48.4392,47.5822,48.0237,46.8821,2504649
2023-02-17,47.9068,48.3691,47.5203,47.9487,46.8107,2507777
2023-02-20,47.8552,48.298,47.465,47.8737,46.7394,2519941
2023-02-21,47.8092,48.2362,47.4064,47.7992,46.6684,2540831
2023-02-22,47.7685,48.1974,47.331,47.7252,46.598,2570031
2023-02-23,47.7325,48.162,47.2575,47.652,46.5284,2607021
2023-02-24,47.7002,48.1292,47.1861,47.5798,46.4597,2651185
2023-02-27,47.6702,48.0977,47.117,47.5089,46.3923,2701818
2023-02-28,47.6412,48.0658,47.0504,47.4394,46.3263,2758138
2023-03-01,47.6114,48.0322,46.9864,47.3715,46.2618,2819292
2023-03-02,47.5794,47.9951,46.9253,47.3055,46.1992,2884368
2023-03-03,47.5436,47.9531,46.8672,47.2416,46.1386,2952408
2023-03-06,47.5028,47.9051,46.8123,47.1799,46.0801,3022420
2023-03-07,47.456,47.8501,46.7606,47.1206,46.024,3093389
2023-03-08,47.4026,47.7874,46.7124,47.0639,45.9705,3164289
2023-03-09,47.3423,47.7172,46.6676,47.01,45.9196,3234100
2023-03-10,47.2756,47.6396,46.6264,46.959,45.8716,3301817
2023-03-13,47.203,47.5556,46.5888,46.9112,45.8267,3366463
2023-03-14,47.1258,47.4663,46.555,46.8665,45.7848,3427106
2023-03-15,47.0454,47.3734,46.5249,46.8252,45.7463,3482862
2023-03-16,46.9635,47.2786,46.4986,46.7875,45.7112,3532916
2023-03-17,46.882,47.1841,46.4762,46.7533,45.6796,3576523
2023-03-20,46.803,47.0919,46.4576,46.7229,45.6517,3613026
2023-03-21,46.7284,47.0135,46.4341,46.6962,45.6275,3641857
2023-03-22,46.66,46.9709,46.3865,46.6735,45.607,3662550
2023-03-23,46.5993,46.9646,46.3146,46.6547,45.5905,3674744
2023-03-24,46.5477,46.962,46.252,46.64,45.5779,3678185
2023-03-27,46.5059,46.9632,46.1995,46.6293,45.5693,3672738
2023-03-28,46.4744,46.9681,46.1577,46.6228,45.5647,3658377
2023-03-29,46.4535,46.9767,46.1269,46.6204,45.5641,3635198
2023-03-30,46.4427,46.9887,46.1067,46.6221,45.5676,3603407
2023-03-31,46.4414,47.0043,46.0967,46.6281,45.5752,3563324
2023-04-03,46.4489,47.0232,46.0961,46.6381,45.5868,3515378
2023-04-04,46.4642,47.0454,46.1039,46.6523,45.6024,3460101
2023-04-05,46.486,47.0708,46.1191,46.6705,45.622,3398122
2023-04-06,46.5133,47.0993,46.1408,46.6928,45.6456,3330159
2023-04-07,46.5452,47.1308,46.1678,46.719,45.6731,3257010
2023-04-10,46.5808,47.1651,46.1996,46.7492,45.7043,3179544
2023-04-11,46.6195,47.2021,46.2355,46.7832,45.7394,3098692
2023-04-12,46.6611,47.2418,46.2752,46.8209,45.778,3015431
2023-04-13,46.7054,47.284,46.3187,46.8622,45.8203,2930776
2023-04-14,46.7527,47.3286,46.3662,46.9071,45.8659,2845766
2023-04-17,46.8034,47.3754,46.4182,46.9553,45.9149,2761450
2023-04-18,46.8581,47.4244,46.4752,47.0068,45.9671,2678878
2023-04-19,46.9175,47.4753,46.5379,47.0614,46.0223,2599083
2023-04-20,46.9823,47.5282,46.6069,47.119,46.0804,2523071
2023-04-21,47.053,47.5828,46.6829,47.1794,46.1412,2451810
2023-04-24,47.1303,47.6391,46.7661,47.2424,46.2046,2386215
2023-04-25,47.2141,47.6969,46.8569,47.3078,46.2704,2327137
2023-04-26,47.3045,47.756,46.955,47.3755,46.3385,2275354
2023-04-27,47.401,47.8165,47.0598,47.4453,46.4086,2231562
2023-04-28,47.5028,47.8781,47.1707,47.517,46.4805,2196362
