date,open,high,low,close,adjusted_close,volume
2023-01-03,384.1997,393.114,381.0755,389.6697,379.928,108306073
2023-01-04,391.7947,395.2187,386.4077,389.5396,379.8136,107487344
2023-01-05,391.4725,394.8457,386.295,389.3818,379.6722,106434906
2023-01-06,391.0569,394.3702,386.1631,389.1968,379.5043,105161474
2023-01-09,390.5592,393.8041,386.0123,388.9856,379.3107,103682315
2023-01-10,389.9934,393.162,385.843,388.7489,379.0924,102015059
2023-01-11,389.3753,392.4607,385.6556,388.4877,378.8501,100179480
2023-01-12,388.722,391.7178,385.4505,388.203,378.5849,98197260
2023-01-13,388.0506,390.9516,385.2281,387.896,378.2979,96091716
2023-01-16,387.3774,390.3709,384.7998,387.5678,377.9902,93887521
2023-01-17,386.7173,389.9221,384.2342,387.2196,377.6631,91610397
2023-01-18,386.0827,389.4516,383.6965,386.8528,377.3177,89286806
2023-01-19,385.483,388.9616,383.1954,386.4688,376.9555,86943619
2023-01-20,384.9245,388.4545,382.7363,386.0689,376.5778,84607797
2023-01-23,384.4103,388.0047,382.2553,385.6547,376.1862,82306055
2023-01-24,383.94,387.6798,381.6917,385.2277,375.782,80064540
2023-01-25,383.5104,387.3422,381.1697,384.7895,375.3668,77908513
2023-01-26,383.1161,386.9926,380.6849,384.3416,374.9422,75862038
2023-01-27,382.7496,386.632,380.2305,383.8858,374.5098,73947697
2023-01-30,382.4029,386.2612,379.7993,383.4237,374.0713,72186308
2023-01-31,382.0675,385.8812,379.3836,382.9571,373.6283,70596681
2023-02-01,381.7357,385.4929,378.9763,382.4876,373.1826,69195388
2023-02-02,381.401,385.0974,378.5717,382.0171,372.7357,67996565
2023-02-03,381.0588,384.6959,378.1656,381.5472,372.2894,67011741
2023-02-06,380.7065,384.2896,377.7564,381.0797,371.8455,66249707
2023-02-07,380.3443,383.8797,377.3443,380.6165,371.4056,65716411
2023-02-08,379.9745,383.4676,376.9321,380.1591,370.9715,65414890
2023-02-09,379.6014,383.0547,376.5247,379.7094,370.5449,65345244
2023-02-10,379.2315,382.6423,376.1285,379.2691,370.1273,65504633
2023-02-13,378.8721,382.2644,375.7193,378.8399,369.7206,65887330
2023-02-14,378.5312,381.9338,375.2939,378.4235,369.3263,66484789
2023-02-15,378.2165,381.6205,374.8914,378.0214,368.946,67285763
2023-02-16,377.9351,381.3312,374.5134,377.6354,368.5813,68276451
2023-02-17,377.6923,381.0716,374.1614,377.2669,368.2337,69440669
2023-02-20,377.4914,380.8452,373.8366,376.9174,367.9047,70760064
2023-02-21,377.3335,380.6531,373.5405,376.5885,367.5957,72214347
2023-02-22,377.2168,380.4939,373.274,376.2815,367.3081,73781545
2023-02-23,377.137,380.3636,373.0382,375.9978,367.0432,75438288
2023-02-24,377.0874,380.2559,372.8341,375.7386,366.8022,77160097
